R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,46,0,46,7.03,
2,József Varga,DR,0,0,1,84,1,51,6.97,
3,Ben Gibson,DC,1,1,0,72,0,56,6.44,
4,Kenneth Omeruo,DC,0,0,0,67,3,57,7.23,
5,George Friend20',DL,0,0,0,78,0,20,6.41,
6,Grant Leadbitter,DMC,1,0,5,74,2,56,7.76,
7,Nathaniel Chalobah,DMC,4,1,1,74,2,50,6.77,
8,Albert Adomah,AMR,0,0,1,76,0,35,7.01,
9,Jacob Butterfield77',AMC,3,1,4,73,0,46,7.64,
10,Luke Williams67',AML,2,1,0,77,1,20,6.43,
11,Danny Graham,FW,4,4,2,56,1,27,7.82,
12,Lee Tomlin77',Sub,3,1,0,40,1,10,7.16,
13,David Atkinson,Sub,0,0,0,0,0,0,0,
14,Curtis Main,Sub,0,0,0,0,0,0,0,
15,Emmanuel Jorge Ledesma67',Sub,3,2,2,100,0,12,6.81,
16,Jonathan Woodgate20',Sub,3,0,1,76,5,37,7.57,
17,Mark Kitching,Sub,0,0,0,0,0,0,0,
18,Jason Steele,Sub,0,0,0,0,0,0,0,
