R,,Name,Shots,ShotsOT,KeyPasses,Dribbles,Fouled,Offsides,Disp,UnsTouches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 35, GK",0,0,0,0,3,0,0,0,7.43,
2,,"Ryan Fredericks 22, DR",2,1,0,1,1,0,0,0,7.16,
3,,"Daniel Ayala 23, DC",2,0,0,0,1,0,0,0,7.37,
4,,"Ben Gibson 21, DC",0,0,0,0,0,0,0,1,6.82,
5,,"George Friend 27, DL",0,0,1,2,3,0,1,2,7.79,
6,,"Grant Leadbitter 28, DMC",3,3,2,0,0,0,0,0,8.88,  
7,,"Adam Clayton 25, DMC",2,0,0,0,2,0,2,0,7.25,
8,,"Albert Adomah (48?)26, AMR",0,0,1,1,0,0,1,0,7.03,
9,,"Lee Tomlin 25, AMC",1,0,2,2,1,0,1,2,7.63,
10,,"Patrick Bamford (74?)21, AML",2,1,1,1,0,0,1,2,8.07,
11,,"Kike (67?)24, FW",2,0,1,0,1,0,1,2,6.7,
12,,"Dean Whitehead 32, Sub",0,0,0,0,0,0,0,0,-,
13,,"Jelle Vossen (74?)25, Sub",0,0,0,0,1,0,0,0,6.16,
14,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,0,0,-,
15,,"Yanic Wildschut (67?)23, Sub",1,1,0,1,0,0,1,0,7.28,
16,,"Adam Reach (48?)21, Sub",0,0,2,1,0,0,1,1,7.31,
17,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,0,0,-,
18,,"Kenneth Omeruo 21, Sub",0,0,0,0,0,0,0,0,-,
