R,,Name,Shots,ShotsOT,KeyPasses,Dribbles,Fouled,Offsides,Disp,UnsTouches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,0,0,0,0,0,6.2,
2,,"Ryan Fredericks 22, DR",0,0,1,0,1,0,1,2,6.77,
3,,"Kenneth Omeruo 21, DC",0,0,1,0,0,0,0,0,7.33,
4,,"Ben Gibson 22, DC",1,0,0,1,0,0,0,0,7.2,
5,,"George Friend 27, DL",2,0,0,0,1,0,1,0,7.08,
6,,"Grant Leadbitter 29, DMC",1,0,4,3,0,0,2,0,8.81,
7,,"Adam Clayton 26, DMC",1,1,2,1,2,0,2,1,7.69,
8,,"Albert Adomah (71?)27, AMR",1,1,0,0,0,0,0,0,6.32,
9,,"Lee Tomlin 26, AMC",3,1,5,2,1,0,1,1,9.44,
10,,"Jelle Vossen (88?)25, AML",5,2,0,0,0,1,0,2,7.37,
11,,"Patrick Bamford (71?)21, FW",4,3,2,0,1,0,4,0,7.79,
12,,"Kike (88?)25, Sub",0,0,0,0,0,0,0,0,6.1,
13,,"Adam Reach (71?)22, Sub",0,0,0,0,0,1,0,0,6.14,
14,,"Adam Forshaw (71?)23, Sub",0,0,0,0,0,0,0,0,6.07,
15,,"Tomas Kalas 21, Sub",0,0,0,0,0,0,0,0,-,
16,,"Tomás Mejías 26, Sub",0,0,0,0,0,0,0,0,-,
17,,"Jonathan Woodgate 35, Sub",0,0,0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,0,0,-,
