R,,Name,Shots,ShotsOT,KeyPasses,Dribbles,Fouled,Offsides,Disp,UnsTouches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,0,0,0,0,0,5.53,
2,,"Tomas Kalas 21, DR",0,0,0,0,1,0,0,1,7.22,
3,,"Ben Gibson 22, DC",0,0,0,0,1,0,0,0,7.32,
4,,"Daniel Ayala (23?)24, DC",1,1,0,0,0,0,1,0,7.18,
5,,"George Friend 27, DL",0,0,1,0,2,0,1,2,7.42,
6,,"Adam Clayton 26, DMC",1,0,1,0,1,0,1,0,7.79,
7,,"Grant Leadbitter (87?)29, DMC",1,0,1,0,0,0,0,0,7.16,
8,,"Albert Adomah 27, AMR",4,1,3,2,2,1,4,1,8.92,
9,,"Patrick Bamford 21, AMC",4,2,0,0,2,1,0,5,7.75,
10,,"Adam Reach 22, AML",0,0,2,0,0,0,0,5,6.47,
11,,"Jelle Vossen (67?)25, FW",1,0,1,0,3,0,0,1,7.69,
12,,"Emilio Nsue Lopez (87?)25, Sub",1,0,0,0,0,0,0,0,5.93,
13,,"Adam Forshaw (67?)23, Sub",0,0,3,0,0,0,1,0,6.5,
14,,"Jonathan Woodgate (23?)35, Sub",0,0,1,0,0,0,0,0,7.27,
15,,"Kike 25, Sub",0,0,0,0,0,0,0,0,-,
16,,"Connor Ripley 22, Sub",0,0,0,0,0,0,0,0,-,
17,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,0,0,-,
18,,"Lee Tomlin 26, Sub",0,0,0,0,0,0,0,0,-,
