R,,Name,Shots,ShotsOT,KeyPasses,Dribbles,Fouled,Offsides,Disp,UnsTouches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 35, GK",0,0,0,0,0,0,0,0,5.9,
2,,"Ryan Fredericks 22, DR",0,0,1,0,0,0,1,0,7.41,
3,,"Daniel Ayala 23, DC",1,0,0,0,1,0,0,0,6.3,
4,,"Kenneth Omeruo 21, DC",0,0,0,0,0,0,0,0,6.2,
5,,"George Friend 27, DL",1,1,1,3,1,0,3,0,6.69,
6,,"Albert Adomah 26, MR",2,0,2,2,3,1,1,3,7.33,
7,,"Dean Whitehead 32, MC",0,0,0,1,0,0,0,1,6.49,
8,,"Grant Leadbitter 28, MC",2,1,2,0,0,0,0,0,6.41,
9,,"Adam Reach (64?)21, ML",1,0,0,1,2,0,0,0,6.49,
10,,"Jelle Vossen (75?)25, FW",4,1,1,0,0,0,2,1,6.33,
11,,"Patrick Bamford (63?)21, FW",3,2,1,0,2,0,0,1,6.24,
12,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,0,0,-,
13,,"Kike (63?)24, Sub",1,0,0,0,1,0,0,0,5.95,
14,,"Ben Gibson 21, Sub",0,0,0,0,0,0,0,0,-,
15,,"Yanic Wildschut (75?)23, Sub",0,0,0,0,0,0,0,0,5.96,
16,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,0,0,-,
17,,"Lee Tomlin (64?)25, Sub",0,0,1,0,3,0,1,1,5.86,
18,,"Milos Veljkovic 19, Sub",0,0,0,0,0,0,0,0,-,
