R,,Name,Shots,ShotsOT,KeyPasses,Dribbles,Fouled,Offsides,Disp,UnsTouches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,0,0,0,0,0,6.35,
2,,"Emilio Nsue Lopez 25, DR",1,0,2,0,0,0,1,2,6.39,
3,,"Kenneth Omeruo (61?)21, DC",1,0,0,0,0,0,0,1,6.62,
4,,"Daniel Ayala 24, DC",3,0,0,0,0,0,0,0,7.31,
5,,"George Friend 27, DL",2,1,1,1,0,0,0,0,7.05,
6,,"Albert Adomah (45?)27, MR",1,0,0,0,0,0,0,4,5.63,
7,,"Adam Clayton 26, MC",0,0,1,1,1,0,0,1,6.9,
8,,"Grant Leadbitter 29, MC",0,0,1,0,0,0,0,1,6.59,
9,,"Adam Reach 21, ML",1,1,2,1,0,0,1,2,6.61,
10,,"Jelle Vossen (61?)25, FW",0,0,1,0,1,0,1,5,5.77,
11,,"Patrick Bamford 21, FW",0,0,1,0,1,0,5,1,5.6,
12,,"Milos Veljkovic (61?)19, Sub",0,0,0,0,0,0,0,0,6.19,
13,,"Kike (61?)25, Sub",1,0,0,1,0,1,1,2,6.01,
14,,"Lee Tomlin (45?)26, Sub",2,1,0,1,1,0,2,4,6.21,
15,,"Yanic Wildschut 23, Sub",0,0,0,0,0,0,0,0,-,
16,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,0,0,-,
17,,"Ben Gibson 22, Sub",0,0,0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,0,0,-,
