R,,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
1,,"Grant Leadbitter 30, DMC",174,68,37(2),3358,9,2.2,42.2,81.7,1.8,4.1,0.1,7.16
2,,"Albert Adomah 28, AM(LR)",185,73,38(4),3433,6,1.5,22.7,74.3,0.9,0.7,-,7
3,,"Emmanuel Ledesma 28, AM(LR)",180,77,16(11),1489,4,1.2,21,69.1,0.6,2,0.1,6.82
4,,"Marvin Emnes 27, AM(C),FW",180,66,14(8),1151,4,1.1,17.7,85.6,0.1,0.4,-,6.4
5,,"Richard Smallwood 25, DMC",180,72,9(4),882,3,1.4,31,77.7,0.2,2.8,-,6.82
6,,"Danny Graham 30, AM(L),FW",183,87,17(1),1528,2,1.2,16.3,67.6,0.1,0.5,-,6.75
7,,"Kei Kamara 31, AM(LR),FW",191,85,16(8),1512,2,1,22.2,67.5,0.2,0.6,0.1,6.94
8,,"Adam Reach 23, D(L),M(LR),FW",185,73,1(1),135,1,1.5,34.5,88.4,1,1,-,6.91
9,,"Curtis Main 23, FW",178,67,7(15),709,1,0.2,8.2,70.7,-,0.1,-,6.16
10,,"Daniel Ayala 25, D(CL)",190,81,17(2),1573,1,0.1,26.3,71.6,-,3.1,-,7.36
11,,"Frazer Richardson 33, D(R)",180,75,11,885,1,0.8,32.8,74.2,0.6,2.4,-,6.64
12,,"Jacob Butterfield 25, M(C)",180,77,20(11),1652,1,0.9,26.8,80.8,0.3,2.3,-,6.53
13,,"Jason Steele 25, GK",188,79,16,1382,1,0.1,29.4,62.6,-,11.5,-,6.73
14,,"Jonathan Woodgate 36, D(CR),DMC",188,80,24(1),2045,1,0.1,28,75.1,-,2.6,-,7.21
15,,"József Varga 27, D(R),DMC",175,73,29(5),2519,1,0.4,28.2,73.9,-,1.4,-,6.66
16,,"Lee Tomlin 27, AM(CLR),FW",180,74,9(5),782,1,1,21.4,78.6,0.1,1,0.1,6.81
17,,"Mustapha Carayol 27, AM(L)",177,74,24(8),2032,1,1,15.8,74.9,0.6,0.8,-,6.95
18,,"Rhys Williams 27, D(CR)",187,72,22,1934,1,0.6,37.4,79.1,0.2,3.4,-,7.07
19,,"Andy Halliday 24, D(L),M(L)",173,67,0(3),50,-,-,4.7,71.4,-,0.3,-,6.11
20,,"Ben Gibson 23, D(CL)",185,78,26(5),2443,-,0.1,30.3,70.5,0.1,2.6,-,6.65
21,,"Brad Halliday 20, Midfielder",0,0,0(1),12,-,-,1,100,-,-,-,6.09
22,,"Bryn Morris 20, Midfielder",182,71,0(1),24,-,-,18,94.4,-,1,-,6.08
23,,"Dean Whitehead 34, D(CR),DMC,M(R)",180,77,34(3),3019,-,1,48.5,84.7,-,4.9,-,6.77
24,,"Dimitrios Konstantopoulos 37, GK",193,90,12,1080,-,0.1,28.4,37.5,-,6,-,7.07
25,,"Faris Haroun 30, Midfielder",188,73,0(1),29,-,-,5,40,1,1,-,6.16
26,,"George Friend 28, D(L)",188,83,39(2),3449,-,0.5,33.2,72.8,0.3,1.8,-,6.98
27,,"Jayson Leutwiler 27, Goalkeeper",192,80,1(2),148,-,-,11.3,58.8,-,3.3,-,6.41
28,,"Justin Hoyte 31, D(R)",180,71,1(2),116,-,-,13,84.6,0.3,-,-,6.12
29,,"Kenneth Omeruo 22, D(C)",168,67,14,1217,-,0.1,37.9,66.1,0.1,2.9,-,7.4
30,,"Luke Williams 22, Forward",185,74,4(5),377,-,0.8,18.2,83.5,0.2,0.9,0.1,6.48
31,,"Nathaniel Chalobah 21, DMC",185,75,15(4),1286,-,0.8,30.2,77.8,0.1,2.2,-,6.75
32,,"Seb Hines 27, D(C)",188,83,3(1),291,-,0.3,32.5,70.8,-,4,-,6.44
33,,"Shay Given 40, GK",183,84,16,1440,-,0.1,28.9,45.5,-,9.2,-,6.84
34,,"Stuart Parnaby 33, D(CR)",178,70,1(2),210,-,-,23.3,70,0.3,0.3,-,6.25
35,,"Tomás Mejías 27, GK",195,84,1,90,-,-,31,35.5,-,7,-,7.66
