R,,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
1,,"Ashley Fletcher24, AM(CL),FW",185,78,37(6),3244,7,1,15.1,64.9,-,0.3,-,6.76
2,,"Jonny Howson32, D(CR),M(CLR)",180,77,41,3657,6,0.8,40.2,70.9,0.3,2.9,0.1,6.85
3,,"Marcus Tavernier21, AM(CLR)",0,0,27(10),2536,5,1.1,24.1,76.7,0.7,0.7,-,6.86
4,,"Marvin Johnson29, D(L),M(LR)",178,0,29(9),2619,3,1.3,21.4,63.6,1.1,1.3,0.1,6.71
5,,"Britt Assombalonga27, FW",177,78,27(8),2510,2,0.7,9.6,65.5,-,0.1,-,6.59
6,,"George Saville27, D(L),M(CL)",176,73,31(6),2503,2,0.6,26.2,77.8,0.1,1.1,-,6.6
7,,"Lewis Wing25, AM(C)",0,0,28(12),2744,2,1,32.2,75.4,0.5,2.4,-,6.72
8,,"Patrick McNair25, D(CR),DMC",183,72,36(5),3281,2,1.2,31.8,77.7,1,1.6,-,6.73
9,,"Patrick Roberts23, AM(CR)",168,58,8(2),614,2,1.9,14.4,77.1,1.2,0.4,-,6.83
10,,"Harold Moukoudi22, D(C)",191,74,8,720,1,0.4,32,80.5,-,1.9,-,6.52
11,,"Hayden Coulson22, D(L),M(L)",0,0,20(9),1875,1,0.6,19.3,70,0.5,0.8,-,6.76
12,,"Rudy Gestede31, FW",193,86,5(14),581,1,0.5,8.5,49.7,-,0.1,-,6.59
13,,"Adam Clayton31, M(C)",175,75,21(6),1721,-,0.6,32.1,80,0.2,2.1,-,6.36
14,,"Anfernee Dijksteel23, D(R),M(R)",183,72,12(4),1042,-,0.6,19.3,76.7,0.1,1,-,6.35
15,,"Aynsley Pears22, GK",0,0,24,2160,-,-,25.3,46.1,-,7.3,-,6.58
16,,"Ben Liddle21, Midfielder",0,0,0(1),20,-,-,10,60,-,2,-,5.92
17,,"Dael Fry22, D(CR)",181,72,36,3186,-,0.1,34.1,75.2,-,1.9,-,6.8
18,,"Daniel Ayala29, D(C)",190,81,23(2),2081,-,0.2,28.1,73.4,-,1.5,-,6.92
19,,"Darren Randolph33, GK",188,98,14,1260,-,-,24.2,45.1,-,6.4,-,6.54
20,,"Dejan Stojanovic27, GK",196,89,8,720,-,-,26.3,35.7,-,7.3,-,6.54
21,,"Djed Spence19, D(R),M(R)",0,0,18(4),1539,-,0.7,17.6,75.5,0.4,0.7,-,6.55
22,,"George Friend32, D(CL),M(L)",188,83,14,1226,-,0.3,27.4,57.3,0.1,2.1,-,6.74
23,,"Lukas Nmecha21, AM(R),FW",185,80,4(7),468,-,0.5,7.5,69.9,0.1,0.3,-,6.3
24,,"Marc Bola22, D(L)",185,78,6(1),519,-,0.4,24.9,67.8,0.4,1,-,6.51
25,,"Marcus Browne22, AM(CL)",179,74,5(8),422,-,0.4,7.4,63.5,0.2,0.4,-,6.14
26,,"Nathan Wood18, Defender",0,0,0(1),53,-,-,36,77.8,-,1,-,6.45
27,,"Ravel Morrison27, M(C)",175,71,3,216,-,0.7,37,75.7,0.3,2,-,6.75
28,,"Ryan Shotton31, D(CR),M(R)",191,85,20(1),1741,-,0.4,33.4,74.5,-,2.3,-,6.82
29,,"Stephen Walker19, AM(R)",0,0,1(6),135,-,0.1,3,71.4,-,0.3,-,5.97
30,,"Tyrone O'Neill20, Forward",0,0,0(1),13,-,-,-,-,-,-,-,5.95
"Tyrone O'Neill20, Forward",,#REF!,,,,,,,,,,,,
