R,,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
1,,"Adama Traoré22, AM(R)",178,72,28(8),2427,10,1.4,12.7,72.1,1.3,0.4,0.1,7.8
2,,"Stewart Downing33, D(L),M(CLR)",180,64,40(2),3426,7,1.8,36.8,83.2,1.7,3.9,0.1,6.94
3,,"Cyrus Christie25, D(R)",188,78,24(1),2122,4,1,37.4,78.6,0.8,1.9,-,7.2
4,,"Ben Gibson25, D(CL)",185,78,47,4230,3,0.2,46.4,80.1,-,4.4,-,6.85
5,,"Jonny Howson30, M(CR)",180,77,39(6),3466,2,1.2,34.4,78.9,0.2,1.8,0.2,6.87
6,,"Martin Braithwaite26, AM(CLR),FW",180,77,17(2),1397,2,0.9,24.5,80,0.1,0.7,0.1,6.89
7,,"Marvin Johnson27, AM(L)",178,0,6(11),733,2,0.5,16.8,70.3,0.4,0.6,-,6.6
8,,"Rudy Gestede29, FW",193,86,10(10),944,2,0.6,13.6,52.9,0.1,0.1,0.1,6.85
9,,"Ryan Shotton29, D(CR),M(R)",191,85,25(1),2234,2,0.4,32.3,71.2,0.2,1.6,-,7.02
10,,"Ashley Fletcher22, FW",185,78,3(13),446,1,0.3,8.3,66.7,-,0.3,0.1,6.35
11,,"Dael Fry20, D(C)",181,72,12(2),1134,1,0.1,43.3,77.2,-,3.2,-,6.86
12,,"Daniel Ayala27, D(C)",190,81,34,2974,1,0.2,34.3,69.2,-,2.6,-,7.12
13,,"Fabio27, D(LR)",172,65,18(6),1530,1,0.5,25,69.1,0.5,1.2,-,6.84
14,,"George Friend30, D(L)",188,83,31(4),2884,1,0.5,30.9,68.2,0.4,1.3,-,7.13
15,,"Grant Leadbitter32, DMC",177,79,29(3),2372,1,0.5,44.3,82.7,0.2,2.6,-,6.64
16,,"Jack Harrison21, AM(R)",175,70,0(4),49,1,0.8,4.3,64.7,0.5,0.3,-,6.43
17,,"Muhamed Besic25, DMC",180,80,17,1359,1,1.6,42.4,87.5,0.1,3.4,0.2,6.98
18,,"Adam Clayton29, M(C)",175,75,24(10),2271,-,0.7,41.4,87.3,0.2,2.8,-,6.67
19,,"Adam Forshaw26, M(C)",185,71,5(6),453,-,0.5,28.8,84.5,0.1,1.7,-,6.37
20,,"Adlène Guédioura32, M(C)",186,81,1,50,-,-,15,73.3,-,-,-,6.17
21,,"Britt Assombalonga25, FW",177,78,34(12),3129,-,0.7,11,78.5,-,0.3,-,6.67
22,,"Connor Roberts22, M(R)",175,71,1,90,-,1,44,77.3,1,-,-,6.14
23,,"Darren Randolph31, GK",188,98,48,4320,-,-,21.8,50.1,-,5.9,-,6.64
24,,"Lewis Baker23, AM(C)",182,72,6(6),617,-,1.3,21.4,80.5,0.8,1,-,6.46
25,,"Marcus Tavernier19, Midfielder",0,0,4(1),254,-,0.4,17.4,62.1,-,0.4,-,6.55
26,,"Marten de Roon27, DMC",185,76,1,65,-,-,30,80,-,1,-,6.57
27,,"Martin Cranie31, D(CR)",183,78,1(8),146,-,0.1,6.7,68.3,0.1,0.2,-,6.21
28,,"Patrick Bamford24, AM(CLR),FW",185,71,23(18),2119,-,0.6,14.7,73.2,-,0.3,0.1,6.66
