R,,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
1,,"Patrick McNair26, D(CR),M(C)",183,72,46,4090,7,1.1,40,72.6,1,4.2,-,6.93
2,,"Sam Morsy29, M(C)",175,70,29(2),2344,5,0.8,29.2,74.6,0.1,1.3,-,6.71
3,,"George Saville27, D(L),M(CL)",176,73,35(7),3246,4,0.8,27.2,70.4,0.1,0.5,-,6.82
4,,"Marcus Tavernier22, AM(CLR)",0,0,25(4),2213,4,1.3,26.1,74.6,0.8,0.6,0.1,6.95
5,,"Marvin Johnson30, D(L),M(LR)",178,0,22(20),2149,4,0.8,14.9,58.2,0.6,0.7,-,6.51
6,,"Neeskens Kebano29, AM(CLR)",170,65,15(3),1225,3,1.2,17.1,84.7,1.1,0.3,-,6.81
7,,"Yannick Bolasie31, AM(LR),FW",188,84,12(3),935,3,0.5,14.9,62.3,0.4,0.3,-,6.81
8,,"Chuba Akpom25, FW",183,70,20(18),1924,2,0.2,6.8,50.8,-,0.2,-,6.42
9,,"Ashley Fletcher25, AM(CL),FW",185,78,5(7),499,1,0.3,8.9,58.9,-,0.1,-,6.32
10,,"Dael Fry23, D(CR)",181,72,30(2),2666,1,0.1,32.6,58.3,-,1.9,-,7.06
11,,"Duncan Watmore27, AM(LR),FW",175,72,23(7),1865,1,0.6,9.9,66.6,-,-,-,6.53
12,,"Jonny Howson33, D(CR),M(CLR)",180,77,40(1),3619,1,0.6,38.3,66.6,0.1,3.1,-,6.72
13,,"Marc Bola23, D(CL),M(L)",185,78,41,3612,1,0.7,31.1,67.5,0.4,2.4,-,6.78
14,,"Marcus Browne23, AM(CL)",179,74,1(4),138,1,0.6,6.6,66.7,0.2,-,-,6.69
15,,"Nathaniel Mendez-Laing29, AM(LR)",180,77,2(7),295,1,0.4,13.6,73.8,0.4,0.2,-,6.39
16,,"Anfernee Dijksteel24, D(CR),M(R)",183,72,29,2530,-,0.3,27.7,69.3,-,2.6,-,6.76
17,,"Britt Assombalonga28, FW",177,78,19(12),1723,-,0.2,7.3,67.6,-,0.1,-,6.27
18,,"Connor Malley21, Midfielder",0,0,0(3),112,-,0.3,22.7,79.4,-,2,-,6.44
19,,"Darnell Fisher27, D(LR),M(R)",175,80,11(1),908,-,0.8,22.5,63.7,0.8,1.6,-,6.73
20,,"Djed Spence20, D(R),M(R)",0,0,22(16),2086,-,0.4,15.1,70.4,0.2,0.4,-,6.41
21,,"Grant Hall29, D(C),DMC",175,71,18(1),1550,-,0.1,30,67.2,-,2.4,-,6.98
22,,"Hayden Coulson22, D(L),M(L)",0,0,5(12),624,-,0.3,8,75,0.1,0.1,-,6.11
23,,"Hayden Hackney18, Midfielder",0,0,0(1),1,-,-,-,-,-,-,-,6
24,,"Jack Robinson19, Defender",0,0,0(1),1,-,-,2,50,-,-,-,5.99
25,,"Jordan Archer28, GK",186,80,5,450,-,-,29.8,36.9,-,6,-,6.56
26,,"Josh Coburn18, Forward",0,0,0(4),49,-,-,2,25,-,-,-,6.37
27,,"Lewis Wing25, M(C)",0,0,4(8),372,-,0.3,9.8,58.1,0.3,0.7,-,6.31
28,,"Marcus Bettinelli28, GK",194,82,41,3690,-,-,31.2,34.1,-,8.2,-,6.25
29,,"Nathan Wood18, D(C)",0,0,2(2),253,-,0.3,26.8,70.1,-,3.3,-,6.55
30,,"Patrick Roberts24, AM(CR)",168,58,4(5),334,-,1,11.4,70.9,-,0.2,-,6.22
31,,"Sam Folarin0, Midfielder",0,0,0(2),25,-,-,6,58.3,-,-,-,6.08
