R,,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
1,,"Jonny Howson30, M(CLR)",180,77,44(2),3943,6,1.5,33,73.2,0.7,1.7,-,6.83
2,,"Muhamed Besic26, DMC",180,80,30(7),2272,5,1.2,32.4,86.1,0.3,3.1,0.1,6.83
3,,"Dael Fry21, D(CR)",181,72,33(1),2864,4,0.4,29.8,69.4,0.1,1.9,-,6.9
4,,"Lewis Wing23, AM(C)",0,0,19(9),1798,3,1.5,22.3,69,0.8,1.3,0.1,6.8
5,,"George Friend31, D(CL),M(L)",188,83,37(1),3271,2,0.7,33.6,65.7,0.6,1.9,-,6.9
6,,"Jordan Hugill26, FW",183,64,20(17),1872,2,0.4,10.8,59.8,-,0.2,-,6.48
7,,"Aden Flint29, D(C)",197,76,39,3454,1,0.2,30,70.5,-,2.3,-,6.98
8,,"Marcus Tavernier20, AM(L)",0,0,2(18),484,1,0.5,8.9,72.3,0.1,0.1,0.1,6.38
9,,"Paddy McNair24, D(CR),DMC",183,72,7(9),734,1,0.4,15.9,71.7,0.3,1.2,-,6.42
10,,"Ryan Shotton30, D(CR),M(R)",191,85,33(1),2877,1,0.8,28,66.3,0.6,1.9,-,7.07
11,,"Stewart Downing34, D(L),M(CLR)",180,64,24(14),2338,1,1.5,22.7,82,1.7,1.8,-,6.63
12,,"Adam Clayton30, M(C)",175,75,29(7),2491,-,0.6,34.6,82.3,0.2,3.5,-,6.62
13,,"Ashley Fletcher23, AM(C),FW",185,78,14(7),1156,-,0.9,14.7,70.8,-,0.2,0.2,6.67
14,,"Britt Assombalonga26, FW",177,78,28(14),2685,-,0.6,10,75.4,-,0.1,-,6.54
15,,"Daniel Ayala28, D(C)",190,81,32(1),2723,-,0.2,30,65.8,-,2.3,-,6.93
16,,"Danny Batth28, D(C)",191,82,8(2),722,-,-,22.3,61.9,-,2.7,-,6.77
17,,"Darren Randolph31, GK",188,98,46,4140,-,-,23.6,45.9,-,7.9,-,6.71
18,,"George Saville25, D(L),M(CL)",176,73,28(6),2520,-,1.2,27.3,76.6,0.7,0.7,0.1,6.92
19,,"Grant Leadbitter33, DMC",177,79,1(1),64,-,-,19,71.1,-,0.5,-,6.14
20,,"John Obi Mikel32, M(C)",188,83,18,1600,-,0.8,43.6,87.4,0.1,1.4,-,6.84
21,,"Martin Braithwaite27, AM(CLR),FW",180,77,12(5),1109,-,0.4,15.4,73.2,0.4,0.5,0.1,6.61
22,,"Rajiv van La Parra27, AM(LR),FW",181,72,0(3),70,-,0.3,7.3,81.8,-,0.3,-,6.58
23,,"Rudy Gestede30, FW",193,86,1(3),109,-,0.5,9,44.4,-,0.3,-,6.62
24,,"Sam McQueen24, D(L)",180,70,1(4),135,-,0.6,7.8,84.6,0.6,-,-,6.19
