R,,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
1,,"David Nugent 31, M(C),FW",180,76,24(14),2266,7,1,18.3,72.2,0.2,0.3,-,6.69
2,,"Albert Adomah 29, AM(LR)",185,73,36(7),3234,5,1.5,26.2,77.7,1.5,1,-,7.2
3,,"Stewart Downing 32, M(CLR)",180,64,40(5),3570,5,1.6,43.1,84.9,1.7,3.6,-,6.83
4,,"Grant Leadbitter 31, DMC",177,79,39(2),3449,3,1.4,53.3,83.5,1.2,4.7,-,7.08
5,,"Adam Forshaw 25, M(C)",185,71,9(20),1028,2,0.5,24.1,88.1,0.2,2.2,-,6.53
6,,"Diego Fabbrini 26, AM(C),FW",181,66,14(8),1261,2,1.1,23,89.1,0.1,0.5,0.1,6.71
7,,"Nsue 27, D(R),M(R),FW",182,75,37(3),3282,2,0.9,39.6,77.6,0.7,1.4,-,7.02
8,,"George Friend 29, D(L)",188,83,39(1),3427,2,0.7,42.5,75.7,0.3,1.5,-,7.29
9,,"Jordan Rhodes 26, FW",185,71,13(5),1162,2,0.7,15.6,69.4,0.1,0.2,-,6.81
10,,"Adam Clayton 28, M(C)",175,75,41(2),3700,1,0.7,61.8,86.3,0.3,6.4,-,7.16
11,,"Cristhian Stuani 30, AM(CR),FW",186,77,20(16),1869,1,0.4,15.4,74.9,0.1,0.4,-,6.7
12,,"Daniel Ayala 26, D(C)",190,81,34(1),3011,1,0.1,40.2,71,-,3.7,0.1,7.43
13,,"Fernando Amorebieta 31, D(CL)",192,85,11(2),1032,1,0.2,39.9,67.4,0.1,4.4,-,6.78
14,,"Gastón Ramírez 26, AM(CLR)",183,77,15(3),1295,1,2.2,31,74.2,0.8,1.8,0.3,7.35
15,,"Kike García 27, FW",186,79,10(9),840,1,0.4,11.2,71.8,-,0.3,-,6.43
16,,"Ritchie de Laet 28, D(LR)",186,77,9(1),846,1,0.6,33.3,77.8,0.7,0.7,-,7
17,,"Adam Reach 23, D(L),M(LR),FW",185,73,3(1),227,-,0.5,21.5,77.9,0.3,0.5,-,6.59
18,,"Ben Gibson 24, D(CL)",185,78,32(1),2840,-,0.1,41.2,77.4,-,3.5,-,6.94
19,,"Bruno Zuculini 23, DMC",182,74,3(2),301,-,0.6,38.4,83.9,-,2.2,-,6.9
20,,"Carlos De Pena 24, Midfielder",177,74,3(3),242,-,0.5,19.8,70.6,0.3,0.5,-,6.39
21,,"Dael Fry 19, D(C)",181,72,7,630,-,0.1,43.6,75.1,-,4.3,-,7.07
22,,"Dimitrios Konstantopoulos 38, GK",193,90,46,4140,-,-,21.7,37.6,-,4.8,-,6.84
23,,"Kike Sola 30, FW",185,82,1(1),51,-,-,6.5,61.5,-,0.5,-,6.02
24,,"Jack Stephens 22, Defender",185,75,0(1),11,-,-,14,78.6,-,1,-,6.04
25,,"Julien de Sart 22, Midfielder",182,68,0(2),3,-,-,3,50,-,-,-,6.1
26,,"Tomas Kalas 23, D(CR)",182,73,19(7),1790,-,0.2,32,81,0.3,2.2,-,6.9
27,,"Yanic Wildschut 25, AM(L),FW",187,86,1,46,-,-,28,82.1,-,1,-,6.62
