POS,NO.,PLAYER,AGE,GS,SB,G,SH,SG,A,FC,FS,YC,RC
D,4,Daniel Ayala,26,1,0,0,0,0,0,2,0,1,0
D,17,Antonio Barragán,29,0,0,0,0,0,0,0,0,0,0
D,25,Calum Chambers,21,--,--,--,--,--,--,--,--,--,--
D,3,George Friend,29,0,1,0,0,0,0,0,4,0,0
D,22,Dael Fry,19,--,--,--,--,--,--,--,--,--,--
D,6,Ben Gibson,24,1,0,0,1,1,0,0,1,0,0
D,40,James Husband,23,--,--,--,--,--,--,--,--,--,--
D,5,Bernardo,27,--,--,--,--,--,--,--,--,--,--
D,2,Fabio,26,1,0,0,1,0,1,0,1,0,0
M,8,Adam Clayton,28,1,0,0,0,0,0,0,2,0,0
M,16,Carlos De Peña,24,--,--,--,--,--,--,--,--,--,--
M,19,Stewart Downing,32,1,0,0,3,0,0,1,2,0,0
M,34,Adam Forshaw,25,0,1,0,1,0,0,0,0,0,0
M,7,Grant Leadbitter,31,--,--,--,--,--,--,--,--,--,--
M,24,Nsue,27,1,0,0,1,0,0,1,2,0,0
M,21,Gastón Ramírez,26,--,--,--,--,--,--,--,--,--,--
M,37,Adama Traoré,20,--,--,--,--,--,--,--,--,--,--
M,14,Marten de Roon,25,--,--,--,--,--,--,--,--,--,--
F,11,Viktor Fischer,22,1,0,0,0,0,0,0,1,0,0
F,29,Rudy Gestede,28,0,1,0,0,0,0,1,0,0,0
F,10,Álvaro Negredo,31,0,0,0,0,0,0,0,0,0,0
F,9,Jordan Rhodes,26,0,0,0,0,0,0,0,0,0,0
F,18,Cristhian Stuani,30,0,1,0,0,0,0,0,0,0,0
