POS,NO.,PLAYER,AGE,GS,SB,G,SH,SG,A,FC,FS,YC,RC
D,4,Daniel Ayala,26,1,0,0,1,0,0,2,0,0,1
D,17,Antonio Barragán,29,1,0,0,0,0,0,1,0,1,0
D,25,Calum Chambers,22,1,0,0,1,0,0,0,0,0,0
D,3,George Friend,29,2,0,0,0,0,0,0,1,0,0
D,22,Dael Fry,19,0,2,0,0,0,0,0,1,0,0
D,6,Ben Gibson,24,2,0,0,1,0,0,2,2,1,0
D,40,James Husband,23,0,0,0,0,0,0,0,0,0,0
D,5,Bernardo,27,3,0,0,0,0,0,4,0,0,0
D,2,Fabio,26,2,1,0,2,1,0,3,1,0,0
M,8,Adam Clayton,28,3,0,0,1,0,0,8,3,1,0
M,19,Stewart Downing,32,1,1,1,5,1,0,0,0,1,0
M,34,Adam Forshaw,25,0,0,0,0,0,0,0,0,0,0
M,27,Adlène Guédioura,31,1,0,0,1,0,0,1,1,0,0
M,7,Grant Leadbitter,31,3,0,1,4,1,1,9,2,3,0
M,21,Gastón Ramírez,26,1,1,0,0,0,0,0,1,0,0
M,37,Adama Traoré,21,2,1,0,3,1,0,1,6,1,0
M,14,Marten de Roon,26,2,0,1,2,1,0,4,1,2,0
F,20,Patrick Bamford,23,1,0,0,4,1,0,1,1,0,0
F,11,Viktor Fischer,22,1,0,0,5,1,0,0,0,0,0
F,29,Rudy Gestede,28,2,0,0,3,2,0,1,1,0,0
F,10,Álvaro Negredo,31,1,1,1,3,1,0,3,3,1,0
F,18,Cristhian Stuani,30,2,1,0,5,3,0,4,5,0,0
