POS,NO.,PLAYER,AGE,GS,SB,G,SH,SG,A,FC,FS,YC,RC
D,29,Fernando Amorebieta,30,9,2,1,5,1,1,15,5,2,1
D,31,Andre Bennett,20,--,--,--,--,--,--,--,--,--,--
D,3,George Friend,27,42,0,1,32,6,1,41,37,6,1
D,6,Ben Gibson,22,33,3,0,8,2,1,13,10,6,0
D,--,Adam Jackson,20,--,--,--,--,--,--,--,--,--,--
D,26,Tomas Kalas,21,16,1,0,1,0,1,11,21,0,0
D,37,Mark Kitching,--,--,--,--,--,--,--,--,--,--,--
D,22,Kenneth Omeruo,21,17,2,0,3,0,1,20,7,4,0
D,20,Adam Reach,22,27,12,2,33,5,5,26,21,3,0
D,32,Dwight Tiendalli,29,2,0,0,0,0,0,1,0,1,0
D,25,Rhys Williams,26,0,1,0,0,0,0,0,0,0,0
D,39,Jonathan Woodgate,35,5,2,1,2,1,0,3,0,0,0
M,2,Damia,33,6,0,0,3,0,0,8,5,2,0
M,27,Albert Adomah,27,40,3,5,66,24,3,50,59,8,1
M,4,Daniel Ayala,24,29,1,4,29,11,0,34,27,8,0
M,23,Patrick Bamford,21,32,6,17,99,42,2,58,53,3,0
M,34,Ryan Brobbell,--,--,--,--,--,--,--,--,--,--,--
M,19,Mustapha Carayol,25,4,1,0,6,0,0,5,2,1,0
M,8,Adam Clayton,26,37,4,0,34,4,2,61,41,10,0
M,34,Adam Forshaw,23,19,15,1,25,9,1,23,36,4,0
M,5,Ryan Fredericks,22,16,1,0,4,1,0,10,15,4,0
M,7,Grant Leadbitter,29,40,3,12,55,18,7,37,18,10,0
M,24,Emilio Nsue,25,12,14,0,14,4,3,11,5,4,0
M,18,Dean Whitehead,33,11,7,0,2,1,0,19,9,2,1
F,9,Garcia Kike,25,25,17,9,121,38,3,34,40,2,0
F,11,Emanuele Ledesema,26,9,3,1,27,6,1,11,7,3,0
F,10,Lee Tomlin,26,32,10,7,76,17,10,56,47,5,0
F,21,Jelle Vossen,26,20,13,7,57,24,3,36,18,3,0
F,33,Yannick Wildschut,23,3,8,2,4,2,0,7,0,0,0
