POS,NO.,PLAYER,AGE,GS,SB,G,SH,SG,A,FC,FS,YC,RC
D,2,Damia,34,--,--,--,--,--,--,--,--,--,--
D,4,Daniel Ayala,25,3,0,0,0,0,0,5,1,0,0
D,15,Alex Baptiste,30,--,--,--,--,--,--,--,--,--,--
D,5,Ritchie De Laet,27,1,1,0,0,0,0,1,1,0,0
D,3,George Friend,28,3,1,0,3,2,0,7,1,1,0
D,22,Dael Fry,18,0,1,0,0,0,0,0,0,0,0
D,6,Ben Gibson,23,3,0,0,0,0,0,2,3,0,0
D,26,Tomas Kalas,23,3,0,0,1,0,1,0,9,0,0
D,14,Rhys Williams,27,--,--,--,--,--,--,--,--,--,--
D,39,Jonathan Woodgate,36,1,0,0,1,0,0,1,0,0,0
M,27,Albert Adomah,28,2,1,2,4,3,2,2,0,0,0
M,8,Adam Clayton,27,2,2,0,2,1,0,5,1,0,0
M,10,Carlos De Peña,24,3,0,0,0,0,0,4,1,0,0
M,16,Julien De Sart,21,--,--,--,--,--,--,--,--,--,--
M,19,Stewart Downing,31,2,2,0,12,7,1,0,1,0,0
M,34,Adam Forshaw,24,3,1,0,5,2,0,10,2,0,0
M,7,Grant Leadbitter,30,4,1,0,7,4,0,5,2,1,0
M,33,Lewis Maloney,21,--,--,--,--,--,--,--,--,--,--
M,24,Emilio Nsue,26,4,1,0,1,0,0,0,3,0,0
M,21,Gastón Ramírez,25,1,1,0,1,0,0,0,0,0,0
F,35,David Nugent,31,0,1,0,0,0,0,0,1,0,0
F,9,Jordan Rhodes,26,0,0,0,0,0,0,0,0,0,0
F,23,Kike Sola,30,--,--,--,--,--,--,--,--,--,--
F,18,Cristhian Stuani,29,3,0,4,13,8,0,8,4,1,0
