R,,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
1,,"Britt Assombalonga25, FW",177,78,34(12),3129,15,-,2,0.7,0.7,1.5,0.9,1.8,2.8,6.67
2,,"Patrick Bamford24, AM(CLR),FW",185,71,23(18),2119,11,-,1.8,0.6,0.5,1,0.5,0.7,2.3,6.66
3,,"Daniel Ayala27, D(C)",190,81,34,2974,7,1,0.8,0.2,0.1,0.8,0.1,0.1,0.4,7.12
4,,"Adama Traoré22, AM(R)",178,72,28(8),2427,5,10,1.5,1.4,7.3,2.5,0.1,2.5,3.1,7.8
5,,"Martin Braithwaite26, AM(CLR),FW",180,77,17(2),1397,5,2,1.6,0.9,1.6,1.7,0.1,1.4,1.7,6.89
6,,"Grant Leadbitter32, DMC",177,79,29(3),2372,3,1,0.6,0.5,0.4,0.7,-,0.5,0.4,6.64
7,,"Jonny Howson30, M(CR)",180,77,39(6),3466,3,2,0.9,1.2,1,0.5,-,0.7,1.1,6.87
8,,"Rudy Gestede29, FW",193,86,10(10),944,3,2,1.3,0.6,0.2,0.4,0.3,0.6,1.1,6.85
9,,"Stewart Downing33, D(L),M(CLR)",180,64,40(2),3426,3,7,1.9,1.8,0.6,0.6,-,0.6,1,6.94
10,,"George Friend30, D(L)",188,83,31(4),2884,2,1,0.5,0.5,1.2,0.9,0.1,0.7,1.1,7.13
11,,"Ashley Fletcher22, FW",185,78,3(13),446,1,1,0.8,0.3,0.4,0.4,0.4,0.6,1.1,6.35
12,,"Ben Gibson25, D(CL)",185,78,47,4230,1,3,0.4,0.2,0.3,0.5,-,0.3,0.4,6.85
13,,"Cyrus Christie25, D(R)",188,78,24(1),2122,1,4,0.7,1,2.4,1,-,1.3,1.8,7.2
14,,"Fabio27, D(LR)",172,65,18(6),1530,1,1,0.8,0.5,0.7,0.8,0.1,0.3,0.8,6.84
15,,"Lewis Baker23, AM(C)",182,72,6(6),617,1,-,1.4,1.3,0.2,1,-,1,1.3,6.46
16,,"Marcus Tavernier19, Midfielder",0,0,4(1),254,1,-,0.8,0.4,0.2,0.4,-,1.2,1.4,6.55
17,,"Marvin Johnson27, AM(L)",178,0,6(11),733,1,2,0.7,0.5,1.1,0.8,-,0.8,0.9,6.6
18,,"Muhamed Besic25, DMC",180,80,17,1359,1,1,1.7,1.6,1.6,0.2,-,1.1,1.4,6.98
19,,"Ryan Shotton29, D(CR),M(R)",191,85,25(1),2234,1,2,0.3,0.4,0.6,0.6,-,0.6,0.8,7.02
20,,"Adam Clayton29, M(C)",175,75,24(10),2271,-,-,0.3,0.7,0.3,0.6,-,0.4,0.4,6.67
21,,"Adam Forshaw26, M(C)",185,71,5(6),453,-,-,0.2,0.5,0.6,0.5,-,0.4,0.4,6.37
22,,"Adlène Guédioura32, M(C)",186,81,1,50,-,-,-,-,1,2,-,1,3,6.17
23,,"Connor Roberts22, M(R)",175,71,1,90,-,-,-,1,-,2,-,-,2,6.14
24,,"Dael Fry20, D(C)",181,72,12(2),1134,-,1,0.3,0.1,0.4,0.6,0.1,0.1,0.3,6.86
25,,"Darren Randolph31, GK",188,98,48,4320,-,-,-,-,-,0.1,-,-,-,6.64
26,,"Jack Harrison21, AM(R)",175,70,0(4),49,-,1,0.5,0.8,0.3,-,-,0.5,0.5,6.43
27,,"Marten de Roon27, DMC",185,76,1,65,-,-,-,-,-,-,-,-,1,6.57
28,,"Martin Cranie31, D(CR)",183,78,1(8),146,-,-,0.1,0.1,0.2,0.1,-,0.1,0.2,6.21
