R,,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
1,,"Duncan Watmore27, AM(LR),FW",175,72,23(7),1865,9,1,0.9,0.6,0.8,0.6,0.3,1.1,2.4,6.53
2,,"George Saville27, D(L),M(CL)",176,73,35(7),3246,6,4,1.5,0.8,0.4,1.1,0.1,0.9,1.3,6.82
3,,"Britt Assombalonga28, FW",177,78,19(12),1723,5,-,1.6,0.2,0.5,0.9,0.6,1.4,2.3,6.27
4,,"Chuba Akpom25, FW",183,70,20(18),1924,5,2,1.1,0.2,0.3,0.8,0.3,0.5,1.5,6.42
5,,"Marcus Tavernier22, AM(CLR)",0,0,25(4),2213,3,4,1.8,1.3,1.2,2,0.2,1.6,2.2,6.95
6,,"Marvin Johnson30, D(L),M(LR)",178,0,22(20),2149,3,4,0.8,0.8,0.6,1,0.3,0.5,0.9,6.51
7,,"Yannick Bolasie31, AM(LR),FW",188,84,12(3),935,3,3,2,0.5,0.9,0.6,0.3,0.9,2.2,6.81
8,,"Ashley Fletcher25, AM(CL),FW",185,78,5(7),499,2,1,1.1,0.3,0.1,0.3,0.3,-,1.6,6.32
9,,"Grant Hall29, D(C),DMC",175,71,18(1),1550,2,-,0.7,0.1,0.3,0.5,0.3,0.1,0.2,6.98
10,,"Lewis Wing25, M(C)",0,0,4(8),372,2,-,0.9,0.3,0.1,0.6,-,0.8,0.9,6.31
11,,"Marcus Browne23, AM(CL)",179,74,1(4),138,2,1,1.2,0.6,-,1.2,0.6,0.2,0.4,6.69
12,,"Patrick McNair26, D(CR),M(C)",183,72,46,4090,2,7,0.8,1.1,0.5,2.1,-,0.4,0.7,6.93
13,,"Dael Fry23, D(CR)",181,72,30(2),2666,1,1,0.3,0.1,0.1,0.8,0.1,-,0.3,7.06
14,,"Djed Spence20, D(R),M(R)",0,0,22(16),2086,1,-,0.3,0.4,0.8,0.6,0.1,1.1,1.3,6.41
15,,"Jonny Howson33, D(CR),M(CLR)",180,77,40(1),3619,1,1,0.7,0.6,0.5,0.7,-,0.3,0.8,6.72
16,,"Josh Coburn18, Forward",0,0,0(4),49,1,-,0.5,-,-,0.3,-,0.5,0.3,6.37
17,,"Marc Bola23, D(CL),M(L)",185,78,41,3612,1,1,0.5,0.7,0.8,1.1,0.1,0.3,0.8,6.78
18,,"Nathaniel Mendez-Laing29, AM(LR)",180,77,2(7),295,1,1,0.6,0.4,0.7,0.2,-,0.3,1.4,6.39
19,,"Neeskens Kebano29, AM(CLR)",170,65,15(3),1225,1,3,0.9,1.2,1.2,1.6,0.4,1.2,1.7,6.81
20,,"Sam Morsy29, M(C)",175,70,29(2),2344,1,5,0.9,0.8,0.7,0.8,-,0.4,0.8,6.71
21,,"Anfernee Dijksteel24, D(CR),M(R)",183,72,29,2530,-,-,0.2,0.3,0.8,1.2,-,0.4,1,6.76
22,,"Connor Malley21, Midfielder",0,0,0(3),112,-,-,0.7,0.3,-,-,-,0.3,0.3,6.44
23,,"Darnell Fisher27, D(LR),M(R)",175,80,11(1),908,-,-,0.2,0.8,0.3,2.4,0.1,0.6,0.8,6.73
24,,"Hayden Coulson22, D(L),M(L)",0,0,5(12),624,-,-,0.4,0.3,0.6,1.1,0.1,0.9,1.2,6.11
25,,"Hayden Hackney18, Midfielder",0,0,0(1),1,-,-,-,-,-,-,-,-,-,6
26,,"Jack Robinson19, Defender",0,0,0(1),1,-,-,-,-,-,-,-,-,-,5.99
27,,"Jordan Archer28, GK",186,80,5,450,-,-,-,-,-,1,-,-,-,6.56
28,,"Marcus Bettinelli28, GK",194,82,41,3690,-,-,-,-,-,0.1,-,-,-,6.25
29,,"Nathan Wood18, D(C)",0,0,2(2),253,-,-,0.3,0.3,-,0.8,-,0.3,0.5,6.55
30,,"Patrick Roberts24, AM(CR)",168,58,4(5),334,-,-,0.6,1,1.1,0.7,0.2,0.9,0.8,6.22
31,,"Sam Folarin0, Midfielder",0,0,0(2),25,-,-,1,-,0.5,0.5,-,-,1,6.08
