R,,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
1,,"Ashley Fletcher24, AM(CL),FW",185,78,37(6),3244,11,7,1.8,1,0.5,1.1,0.4,1.2,2.2,6.76
2,,"Britt Assombalonga27, FW",177,78,27(8),2510,11,2,1.7,0.7,0.6,1.2,0.8,1.5,2.5,6.59
3,,"Lewis Wing25, AM(C)",0,0,28(12),2744,7,2,2,1,0.6,0.8,-,1.1,1,6.72
4,,"Patrick McNair25, D(CR),DMC",183,72,36(5),3281,6,2,1.3,1.2,0.8,2,0.1,1.2,1.4,6.73
5,,"Marcus Tavernier21, AM(CLR)",0,0,27(10),2536,3,5,1.8,1.1,1.2,1.5,-,1.1,2.2,6.86
6,,"Daniel Ayala29, D(C)",190,81,23(2),2081,2,-,0.9,0.2,0.2,0.4,0.1,0.2,0.3,6.92
7,,"Rudy Gestede31, FW",193,86,5(14),581,2,1,1.2,0.5,0.1,0.2,0.2,0.3,1,6.59
8,,"Djed Spence19, D(R),M(R)",0,0,18(4),1539,1,-,0.5,0.7,0.8,0.6,0.1,1.3,1.6,6.55
9,,"George Saville27, D(L),M(CL)",176,73,31(6),2503,1,2,0.9,0.6,0.6,0.9,0.1,0.5,1,6.6
10,,"Hayden Coulson22, D(L),M(L)",0,0,20(9),1875,1,1,0.8,0.6,1.6,1.6,0.1,0.7,1.7,6.76
11,,"Marvin Johnson29, D(L),M(LR)",178,0,29(9),2619,1,3,0.7,1.3,0.9,1.1,0.1,0.9,1.1,6.71
12,,"Patrick Roberts23, AM(CR)",168,58,8(2),614,1,2,1.4,1.9,2,1.4,-,1.6,1.2,6.83
13,,"Adam Clayton31, M(C)",175,75,21(6),1721,-,-,0.2,0.6,0.4,0.6,-,0.1,0.5,6.36
14,,"Anfernee Dijksteel23, D(R),M(R)",183,72,12(4),1042,-,-,0.3,0.6,0.3,1.1,-,0.8,0.8,6.35
15,,"Aynsley Pears22, GK",0,0,24,2160,-,-,-,-,-,0.2,-,-,0.1,6.58
16,,"Ben Liddle21, Midfielder",0,0,0(1),20,-,-,-,-,-,-,-,-,-,5.92
17,,"Dael Fry22, D(CR)",181,72,36,3186,-,-,0.3,0.1,0.2,0.6,-,0.4,0.7,6.8
18,,"Darren Randolph33, GK",188,98,14,1260,-,-,-,-,0.1,0.1,-,-,0.1,6.54
19,,"Dejan Stojanovic27, GK",196,89,8,720,-,-,-,-,-,0.3,-,-,-,6.54
20,,"George Friend32, D(CL),M(L)",188,83,14,1226,-,-,0.6,0.3,0.8,0.9,0.2,0.4,1.1,6.74
21,,"Harold Moukoudi22, D(C)",191,74,8,720,-,1,0.3,0.4,0.3,0.1,-,-,0.6,6.52
22,,"Jonny Howson32, D(CR),M(CLR)",180,77,41,3657,-,6,0.6,0.8,1.3,0.7,-,0.3,0.7,6.85
23,,"Lukas Nmecha21, AM(R),FW",185,80,4(7),468,-,-,1,0.5,0.8,1.1,0.4,1.2,1.6,6.3
24,,"Marc Bola22, D(L)",185,78,6(1),519,-,-,0.1,0.4,1,0.3,-,0.7,0.7,6.51
25,,"Marcus Browne22, AM(CL)",179,74,5(8),422,-,-,0.2,0.4,0.2,1.3,0.2,0.7,0.7,6.14
26,,"Nathan Wood18, Defender",0,0,0(1),53,-,-,-,-,-,-,-,-,-,6.45
27,,"Ravel Morrison27, M(C)",175,71,3,216,-,-,1,0.7,1,1.3,-,0.3,1,6.75
28,,"Ryan Shotton31, D(CR),M(R)",191,85,20(1),1741,-,-,0.2,0.4,0.4,0.7,-,0.5,0.4,6.82
29,,"Stephen Walker19, AM(R)",0,0,1(6),135,-,-,0.3,0.1,-,0.3,-,0.6,0.9,5.97
30,,"Tyrone O'Neill20, Forward",0,0,0(1),13,-,-,-,-,-,-,-,-,-,5.95
