R,,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
1,,"Britt Assombalonga26, FW",177,78,28(14),2685,14,-,2,0.6,0.5,1.2,1,1.8,2.5,6.54
2,,"Jordan Hugill26, FW",183,64,20(17),1872,6,2,1.5,0.4,0.1,1.2,0.4,1,2.4,6.48
3,,"Ashley Fletcher23, AM(C),FW",185,78,14(7),1156,5,-,2.1,0.9,0.5,0.5,0.5,1,2,6.67
4,,"George Saville25, D(L),M(CL)",176,73,28(6),2520,4,-,1.3,1.2,0.5,1.1,0.1,0.9,1.3,6.92
5,,"Lewis Wing23, AM(C)",0,0,19(9),1798,3,3,1.5,1.5,0.4,0.5,-,1.1,1.6,6.8
6,,"Marcus Tavernier20, AM(L)",0,0,2(18),484,3,1,0.7,0.5,0.7,0.5,-,0.9,0.9,6.38
7,,"Martin Braithwaite27, AM(CLR),FW",180,77,12(5),1109,3,-,1.6,0.4,0.9,1.2,0.2,1,2.7,6.61
8,,"George Friend31, D(CL),M(L)",188,83,37(1),3271,2,2,0.8,0.7,0.7,0.9,0.1,0.6,1.5,6.9
9,,"Muhamed Besic26, DMC",180,80,30(7),2272,2,5,1.2,1.2,1.4,0.8,-,0.8,1.1,6.83
10,,"Stewart Downing34, D(L),M(CLR)",180,64,24(14),2338,2,1,1.2,1.5,0.5,0.4,0.1,0.5,1,6.63
11,,"Aden Flint29, D(C)",197,76,39,3454,1,1,1.3,0.2,0.1,0.7,0.1,0.1,0.3,6.98
12,,"Daniel Ayala28, D(C)",190,81,32(1),2723,1,-,1.1,0.2,0.1,0.9,-,0.1,0.6,6.93
13,,"John Obi Mikel32, M(C)",188,83,18,1600,1,-,0.6,0.8,0.7,0.7,0.1,0.9,1.3,6.84
14,,"Jonny Howson30, M(CLR)",180,77,44(2),3943,1,6,1.3,1.5,1.2,0.7,-,0.9,1.3,6.83
15,,"Adam Clayton30, M(C)",175,75,29(7),2491,-,-,0.1,0.6,0.5,1.1,-,0.6,0.7,6.62
16,,"Dael Fry21, D(CR)",181,72,33(1),2864,-,4,0.2,0.4,0.5,0.6,-,0.2,0.7,6.9
17,,"Danny Batth28, D(C)",191,82,8(2),722,-,-,0.6,-,-,0.2,-,0.1,0.3,6.77
18,,"Darren Randolph31, GK",188,98,46,4140,-,-,-,-,-,0.1,-,-,-,6.71
19,,"Grant Leadbitter33, DMC",177,79,1(1),64,-,-,-,-,0.5,0.5,-,0.5,-,6.14
20,,"Paddy McNair24, D(CR),DMC",183,72,7(9),734,-,1,0.3,0.4,0.3,0.4,0.1,0.5,0.7,6.42
21,,"Rajiv van La Parra27, AM(LR),FW",181,72,0(3),70,-,-,0.7,0.3,2,1.3,-,0.3,0.3,6.58
22,,"Rudy Gestede30, FW",193,86,1(3),109,-,-,1,0.5,-,-,-,0.3,1,6.62
23,,"Ryan Shotton30, D(CR),M(R)",191,85,33(1),2877,-,1,0.3,0.8,0.4,0.8,-,0.2,0.6,7.07
24,,"Sam McQueen24, D(L)",180,70,1(4),135,-,-,0.6,0.6,-,-,-,-,0.2,6.19
