Rank,,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
1,,"Anfernee Dijksteel26, D(CR),M(R)",183,72,1,90,-,-,1,-,-,-,-,-,1,6.07
2,,"Bryant Bilongo21, Defender",0,0,0(1),31,-,-,-,2,-,1,-,1,-,6.67
3,,"Caolan Boyd-Munce23, Midfielder",0,0,1,90,-,-,-,1,-,1,-,-,-,6.37
4,,"Chuba Akpom27, AM(C),FW",183,70,0(1),31,-,-,1,-,-,3,-,-,-,6.21
5,,"Dael Fry25, D(CR)",181,72,1,90,-,-,2,-,-,-,-,-,1,7.55
6,,"Daniel Dodds22, D(C)",0,0,0(1),16,-,-,1,1,1,1,-,-,-,6.33
7,,"Duncan Watmore29, AM(CLR),FW",175,72,1,60,-,-,1,-,1,-,-,3,4,5.67
8,,"Hayden Hackney20, M(C)",0,0,1,90,-,-,1,2,-,1,-,2,3,7.09
9,,"Isaac Fletcher20, Midfielder",0,0,0(1),13,-,-,2,1,-,1,-,-,-,6.51
10,,"Joseph Gibson21, Midfielder",0,0,1,77,-,-,2,-,2,-,-,1,2,6.56
11,,"Liam Roberts28, GK",183,82,1,90,-,-,-,-,-,-,-,-,-,5.62
12,,"Marc Bola25, D(CL),M(L)",185,78,1,74,-,-,-,-,-,-,-,-,2,6.32
13,,"Marcus Forss23, AM(R),FW",182,76,0(1),31,-,-,-,-,-,1,-,1,-,5.88
14,,"Patrick McNair28, D(CR),M(C)",183,72,1,59,-,-,1,-,1,1,-,-,1,6.7
15,,"Sonny Finch17, Forward",0,0,1,60,-,-,-,2,-,-,-,2,2,6.36
16,,"Tommy Smith31, D(CR),M(R)",186,75,1,90,-,-,-,1,-,-,-,2,1,6.53
