Player key,Age,Age when joined,Appearances,Assists,Assists p90,Competition,Foot,Games started,Goals,Goals p90,Height,In squad,Market value,Minutes played,PPG,Position group,Red cards,Second yellow cards,Shirt number,Substitutions off,Substitutions on,Years in team,Yellow cards,Yellow cards p90,Market value (prediction)
Grant Leadbitter (13/14),27.0,26.481036571592846,43.0,9.0,0.22907239819004524,"Championship, FA Cup, League Cup",right,41.0,6.0,0.15271493212669685,177.0,42.0,1.13,3536.0,1.3158139534883722,M,0.0,0.0,7.0,4.0,2.0,1.9986721151016105,11.0,0.27997737556561086,1.917747777998293
Grant Leadbitter (14/15),28.0,26.481036571592846,55.0,10.0,0.2104278700023381,"Championship, Championship Playoffs, FA Cup, League Cup",right,51.0,13.0,0.2735562310030395,177.0,52.0,1.35,4277.0,1.822909090909091,M,0.0,0.0,7.0,8.0,4.0,2.998008172652416,10.0,0.2104278700023381,2.254867175698463
Grant Leadbitter (15/16),30.0,26.481036571592846,49.0,3.0,0.06983962752198655,"Championship, FA Cup, League Cup",right,46.0,4.0,0.09311950336264874,177.0,50.0,1.5,3866.0,1.9436734693877546,M,0.0,0.0,7.0,10.0,3.0,4.000082137210209,12.0,0.2793585100879462,2.2985075236759838
Grant Leadbitter (16/17),31.0,26.481036571592846,27.0,2.0,0.1305293691080493,"FA Cup, League Cup, Premier League",right,21.0,5.0,0.3263234227701233,177.0,34.0,1.7,1379.0,1.082962962962963,M,0.0,0.0,7.0,5.0,6.0,4.999418194761015,7.0,0.45685279187817257,2.929526877124307
Grant Leadbitter (17/18),32.0,26.481036571592846,37.0,2.0,0.07081038552321008,"Championship, Championship Playoffs, FA Cup, League Cup",right,34.0,3.0,0.10621557828481511,177.0,47.0,1.8,2542.0,1.8459459459459462,M,0.0,1.0,7.0,12.0,3.0,5.99875425231182,11.0,0.3894571203776554,1.9591412829370598
Grant Leadbitter (18/19),33.0,,9.0,0.0,0.0,"Championship, FA Cup, League Cup",,8.0,0.0,0.0,,6.0,,604.0,2.3333333333333335,M,0.0,0.0,0.0,1.0,1.0,,2.0,0.2980132450331126,1.0359941832198505
Harold Moukoudi (19/20),22.0,22.177046756606913,7.0,1.0,0.14285714285714285,"Championship, FA Cup, League Cup",right,7.0,0.0,0.0,191.0,0.0,2.88,630.0,0.71,D,0.0,0.0,18.0,0.0,0.0,0.41616186506225317,2.0,0.2857142857142857,1.405743154143486
Harry Chapman (18/19),21.0,,7.0,0.0,0.0,"Championship, FA Cup, League Cup",,4.0,0.0,0.0,,5.0,,106.0,3.0,M,0.0,0.0,0.0,1.0,3.0,,0.0,0.0,0.7477078860292767
Hayden Coulson (19/20),21.0,21.03807744169969,29.0,1.0,0.05172413793103448,"Championship, FA Cup, League Cup",left,24.0,1.0,0.05172413793103448,172.0,1.0,1.62,1740.0,1.2510344827586208,D,0.0,0.0,33.0,2.0,5.0,1.0020739645577939,3.0,0.15517241379310345,1.3548267054462244
Hayden Hackney (19/20),17.0,,0.0,0.0,0.0,Championship,,0.0,0.0,0.0,,0.0,,0.0,0.0,M,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.38564413921651264
