NUM,NAME,GS,SB,SV,GC,FC,FS,YC,RC,W,L,D
30,Jason Steele,35,0,137,46,1,9,2,0,14,17,7
-,Paul Smith,10,0,55,17,0,2,0,0,7,1,4
21,Danny Coyne,1,0,7,3,0,0,0,0,7,12,7
39,Connor Ripley,0,1,5,3,0,0,0,0,6,6,4
