NUM,NAME,GS,SB,SV,GC,FC,FS,YC,RC,W,L,D
-,Jason Steele,2,0,16,2,0,0,0,0,1,1,0
-,Danny Coyne,1,1,8,1,0,1,0,0,1,0,1
-,Connor Ripley,0,1,0,0,0,0,0,0,0,1,1
