NUM,NAME,GS,SB,SV,GC,FC,FS,YC,RC,W,L,D
1,Brad Jones,23,0,115,24,1,3,0,1,10,11,9
21,Danny Coyne,22,1,99,24,0,4,0,0,15,16,13
-,Jason Steele,0,0,0,0,0,0,0,0,7,5,4
