NUM,NAME,GS,SB,SV,GC,FC,FS,YC,RC,W,L,D
1,Jason Steele,46,0,203,67,0,6,2,0,18,23,5
31,Connor Ripley,0,0,0,0,0,0,0,0,0,4,0
32,Jayson Leutwiler,0,0,0,0,0,0,0,0,18,19,5
