NUM,NAME,GS,SB,SV,GC,FC,FS,YC,RC,W,L,D
-,Danny Coyne,3,0,16,2,0,2,0,0,2,1,0
-,Connor Ripley,0,0,0,0,0,0,0,0,2,1,0
