NUM,NAME,GS,SB,SV,GC,FC,FS,YC,RC,W,L,D
1,Jason Steele,15,0,6,23,1,5,0,1,10,8,9
12,Shay Given,15,0,33,8,0,3,0,0,6,3,6
13,Dimitrios Konstantopoulos,12,0,43,11,0,2,0,0,13,8,10
32,Jayson Leutwiler,1,2,3,2,0,0,0,0,3,4,7
35,Tomas Mejias,1,0,5,1,0,0,0,0,0,1,0
