NUM,NAME,GS,SB,SV,GC,FC,FS,YC,RC,W,L,D
-,Jason Steele,3,0,6,4,0,0,0,0,2,1,0
-,Jayson Leutwiler,0,0,0,0,0,0,0,0,2,1,0
