NUM,NAME,GS,SB,SV,GC,FC,FS,YC,RC,W,L,D
-,Dimitrios Konstantopoulos,2,0,4,4,0,0,0,0,0,2,0
-,Connor Ripley,0,0,0,0,0,0,0,0,0,2,0
