Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,3,Wed,2021-06-23,21:00 (20:00),Portugal pt,1.8,2–2,1.7,fr France,54886,Puskás Aréna (Neutral Site),Antonio Matéu Lahoz,Match Report,
,,,,,,,,,,,,,,
Round of 16,,Sat,2021-06-26,18:00 (17:00),Wales wal,0.7,0–4,2.0,dk Denmark,14645,Johan Cruyff ArenA (Neutral Site),Daniel Siebert,Match Report,
Round of 16,,Sat,2021-06-26,20:00,Italy it,1.6,2–1,1.2,at Austria,18910,Wembley Stadium (Neutral Site),Anthony Taylor,Match Report,Required Extra Time
Round of 16,,Sun,2021-06-27,18:00 (17:00),Netherlands nl,0.9,0–2,1.1,cz Czech Republic,52834,Puskás Aréna (Neutral Site),Sergey Karasev,Match Report,
Round of 16,,Sun,2021-06-27,21:00 (20:00),Belgium be,0.2,1–0,1.1,pt Portugal,11504,Estadio La Cartuja de Sevilla (Neutral Site),Felix Brych,Match Report,
Round of 16,,Mon,2021-06-28,18:00 (17:00),Croatia hr,2.4,3–5,3.4,es Spain,22771,Telia Parken (Neutral Site),Cüneyt Çakιr,Match Report,Required Extra Time
Round of 16,,Mon,2021-06-28,22:00 (20:00),France fr,2.9,(4) 3–3 (5),1.7,ch Switzerland,22642,Arena Naţională (Neutral Site),Fernando Rapallini,Match Report,Switzerland won on penalty kicks following extra time
Round of 16,,Tue,2021-06-29,17:00,England eng,1.0,2–0,1.4,de Germany,41973,Wembley Stadium (Neutral Site),Danny Makkelie,Match Report,
Round of 16,,Tue,2021-06-29,20:00,Sweden se,1.1,1–2,1.4,ua Ukraine,9221,Hampden Park (Neutral Site),Daniele Orsato,Match Report,Required Extra Time
Quarter-finals,,Fri,2021-07-02,19:00 (17:00),Switzerland ch,1.0,(1) 1–1 (3),3.0,es Spain,24764,Gazprom Arena,Michael Oliver,Match Report,Spain won on penalty kicks following extra time
Quarter-finals,,Fri,2021-07-02,21:00 (20:00),Belgium be,1.7,1–2,1.3,it Italy,12984,Allianz Arena,Slavko Vinčič,Match Report,
Quarter-finals,,Sat,2021-07-03,20:00 (17:00),Czech Republic cz,1.2,1–2,1.2,dk Denmark,16306,Bakı Olimpiya Stadionu,Björn Kuipers,Match Report,
Quarter-finals,,Sat,2021-07-03,21:00 (20:00),Ukraine ua,0.3,0–4,1.3,eng England,11880,Stadio Olimpico,Felix Brych,Match Report,
Semi-finals,,Tue,2021-07-06,20:00,Italy it,0.4,(4) 1–1 (2),1.7,es Spain,57811,Wembley Stadium,Felix Brych,Match Report,Italy won on penalty kicks following extra time
Semi-finals,,Wed,2021-07-07,20:00,England eng,2.6,2–1,0.3,dk Denmark,64950,Wembley Stadium,Danny Makkelie,Match Report,Required Extra Time
Final,,Sun,2021-07-11,20:00,Italy it,2.1,(3) 1–1 (2),0.4,eng England,,Wembley Stadium,Björn Kuipers,Match Report,Italy won on penalty kicks following extra time
