POS,NO.,PLAYER,AGE,GS,SB,SV,GC,FC,FS,YC,RC,W,L,D
G,12,Brad Guzan,32,2,0,11,2,0,0,0,0,0,0,0
G,1,Dimitrios Konstantopoulos,38,1,0,3,0,0,0,0,0,0,0,0
G,26,Víctor Valdés,35,0,0,0,0,0,0,0,0,0,0,0
