POS,NO.,PLAYER,AGE,GS,SB,SV,GC,FC,FS,YC,RC,W,L,D
G,25,Michael Agazzi,31,0,0,0,0,0,0,0,0,0,0,0
G,1,Dimitrios Konstantopoulos,37,46,0,119,31,0,2,0,0,0,0,0
G,13,Tomás,27,0,0,0,0,0,0,0,0,0,0,0
