POS,NO.,PLAYER,AGE,GS,SB,SV,GC,FC,FS,YC,RC,W,L,D
G,46,Jamal Blackman,21,0,0,0,0,0,0,0,0,5,0,2
G,13,Dimitrios Konstantopoulos,36,40,0,98,29,1,12,0,1,25,10,10
G,40,Tomas Mejias,26,6,1,10,8,0,0,0,0,13,6,7
G,12,Connor Ripley,22,0,0,0,0,0,0,0,0,7,6,1
