POS,NO.,PLAYER,AGE,GS,SB,SV,GC,FC,FS,YC,RC,W,L,D
G,13,Tomás,27,5,0,18,4,0,0,0,0,0,0,0
G,1,Dimitrios Konstantopoulos,37,0,0,0,0,0,0,0,0,0,0,0
G,25,Michael Agazzi,31,0,0,0,0,0,0,0,0,0,0,0
