POS,NO.,PLAYER,AGE,GS,SB,SV,GC,FC,FS,YC,RC,W,L,D
G,25,Michael Agazzi,31,0,0,0,0,0,0,0,0,0,0,0
G,1,Dimitrios Konstantopoulos,37,--,--,--,--,--,--,--,--,--,--,--
G,13,Tomás,27,1,0,1,2,0,0,0,0,0,0,0
