POS,NO.,PLAYER,AGE,GS,SB,SV,GC,FC,FS,YC,RC,W,L,D
G,12,Brad Guzan,32,10,0,37,17,1,1,0,0,0,0,0
G,1,Dimitrios Konstantopoulos,38,0,0,0,0,0,0,0,0,0,0,0
G,26,Víctor Valdés,35,28,0,80,36,0,4,1,0,0,0,0
