R,Team,Shots pg,Discipline,Possession%,PassSuccess%,AerialsWon,Rating
1,Hull,17.3,220,54.2,80,21.9,7.08
2,Middlesbrough,15.8,251,53.3,79.7,17.3,7.04
3,Burnley,12.6,230,49.1,68.8,25.7,6.98
4,Sheffield Wednesday,14.5,321,52,76.5,18,6.95
5,Derby,16.3,340,55.3,79.8,19.8,6.95
6,Queens Park Rangers,15.1,301,48.1,66.7,25.9,6.94
7,Brighton,15.3,391,52.4,77.5,18,6.91
8,Cardiff,14.5,362,50.8,74.9,22.7,6.87
9,Bolton,13.8,344,48.5,70.4,24.7,6.86
10,Reading,16.1,222,53.5,77.3,22.6,6.85
11,Nottingham Forest,15.6,425,49.3,74.2,21.2,6.85
12,Wolverhampton Wanderers,12,231,49.9,71.5,22.9,6.83
13,Blackburn,13.2,391,49.5,70,25.8,6.82
14,Fulham,14.4,373,53.4,76.9,20.5,6.78
15,Bristol City,12.9,272,49.9,71.7,22,6.78
16,Brentford,14.8,332,54.5,75.3,16.8,6.78
17,Ipswich,14.2,341,51.9,65,27.1,6.77
18,Rotherham,14.1,294,46.6,63.8,27.9,6.77
19,Birmingham,12.8,331,46.3,67.4,19.9,6.75
20,Preston,13.9,363,49.1,67.5,23,6.74
21,Huddersfield,14.2,360,54.4,77.7,16.9,6.74
22,Leeds,12.5,431,52,73.4,18.8,6.73
23,Charlton,13.1,382,50.7,73.6,20.6,6.71
24,Milton Keynes Dons,13.6,343,52.6,75.4,14.3,6.62
