,,,,,,,,,,,,,
R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Jason Steele,GK,0,28,75,0,0,17,10,0,0,5.92,
2,Frazer Richardson,DR,1,64,69,2,1,10,6,0,0,6.39,
3,Rhys Williams,DC,0,77,88,0,0,13,10,0,0,7.38,
4,Jonathan Woodgate,DC,0,50,86,0,0,13,7,0,0,6.84,
5,George Friend,DL,1,36,89,4,0,4,4,0,0,6.58,
6,Mustapha Carayol63',MR,1,24,83,2,0,5,4,0,0,6.39,
7,Dean Whitehead63',MC,0,33,79,0,0,5,3,0,0,5.9,
8,Jacob Butterfield,MC,0,46,87,2,0,14,11,0,0,5.77,
9,Grant Leadbitter,MC,1,72,90,4,1,12,8,0,0,6.79,
10,Albert Adomah,ML,1,28,86,7,2,1,1,0,0,7.46,
11,Lukas Jutkiewicz,FW,0,20,80,0,0,1,1,0,0,6.34,
12,Ben Gibson,Sub,0,0,0,0,0,0,0,0,0,0,
13,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,0,0,
14,Kei Kamara63',Sub,0,4,50,1,0,0,0,0,0,5.93,
15,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,0,0,
16,Justin Hoyte,Sub,0,0,0,0,0,0,0,0,0,0,
17,Andrew Halliday,Sub,0,0,0,0,0,0,0,0,0,0,
18,Marvin Emnes63',Sub,1,15,80,1,1,1,1,0,0,6.12,
