R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,16,31,0,0,11,1,0,0,8.46,
2,József Varga,DR,0,39,74,0,0,6,1,0,0,7.24,
3,Ben Gibson,DC,0,32,69,0,0,8,2,0,0,7.2,
4,Kenneth Omeruo79',DC,0,30,80,0,0,4,1,0,0,7.34,
5,George Friend,DL,2,32,84,2,0,5,2,0,0,7.08,
6,Luke Williams,MR,1,23,96,2,1,0,0,0,0,7.25,
7,Dean Whitehead,MC,1,42,95,0,0,6,6,0,0,6.64,
8,Grant Leadbitter,MC,2,39,92,2,1,4,3,0,0,8.11,
9,Albert Adomah87',ML,2,20,80,8,1,1,0,0,0,7.66,
10,Lee Tomlin60',AMC,1,26,77,1,0,4,4,0,0,6.31,
11,Danny Graham,FW,2,18,78,1,0,2,2,0,0,8.15,
12,Emmanuel Jorge Ledesma87',Sub,0,4,50,0,0,1,0,0,0,6.13,
13,Nathaniel Chalobah79',Sub,1,2,100,0,0,1,1,0,0,6.43,
14,Bryn Morris,Sub,0,0,0,0,0,0,0,0,0,0,
15,David Atkinson,Sub,0,0,0,0,0,0,0,0,0,0,
16,Kei Kamara,Sub,0,0,0,0,0,0,0,0,0,0,
17,Jacob Butterfield60',Sub,1,11,91,0,0,1,1,0,0,6.37,
18,Jason Steele,Sub,0,0,0,0,0,0,0,0,0,0,
