R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Tomás Mejías,GK,0,21,38,0,0,20,7,0,0,6.3,
2,Damiá,DR,0,44,86,3,0,6,2,0,0,6.92,
3,Kenneth Omeruo,DC,0,57,82,0,0,7,3,0,0,6.74,
4,Sebastian Hines,DC,0,49,78,0,0,11,4,0,0,6.62,
5,George Friend,DL,2,63,84,4,2,11,5,0,0,7.01,
6,Emilio Nsue Lopez63',MR,3,38,87,0,0,2,1,0,0,6.49,
7,Grant Leadbitter,MC,1,93,91,4,0,12,9,0,0,7.32,
8,Adam Clayton79',MC,1,78,85,0,0,2,1,0,0,6.76,
9,Albert Adomah,ML,1,31,77,2,0,2,1,0,0,6.48,
10,Lee Tomlin89',FW,0,33,88,0,0,3,2,1,0,6.9,
11,Kike,FW,4,35,86,0,0,1,0,0,0,7.24,
12,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,undefined,
13,Luke Williams,Sub,0,0,0,0,0,0,0,0,0,undefined,
14,James Husband,Sub,0,0,0,0,0,0,0,0,0,undefined,
15,Dean Whitehead89',Sub,0,3,100,0,0,1,1,0,0,6.02,
16,Adam Reach63',Sub,2,16,88,3,2,1,0,0,0,7.08,
17,Bradley Fewster,Sub,0,0,0,0,0,0,0,0,0,undefined,
18,Daniel Ayala79',Sub,0,5,40,0,0,2,0,0,0,6.16,
