,,,,,,,,,,,,,
R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Jason Steele,GK,0,32,66,0,0,20,10,0,0,6.64,
2,Frazer Richardson77',DR,0,26,77,1,0,4,3,0,0,6.51,
3,Rhys Williams,DC,0,44,77,0,0,3,1,0,0,7.11,
4,Ben Gibson,DC,0,37,84,0,0,7,4,0,0,6.79,
5,George Friend,DL,2,52,67,3,0,4,1,0,0,7.23,
6,Jacob Butterfield,MR,2,50,96,5,1,5,4,0,0,8.95,
7,Dean Whitehead,MC,1,56,89,0,0,8,7,1,1,7.47,
8,Grant Leadbitter78',MC,1,47,91,4,0,3,1,0,0,7.19,
9,Albert Adomah,ML,3,28,75,9,3,1,0,0,0,8.2,
10,Marvin Emnes62',AMC,1,16,88,1,0,0,0,0,0,6.69,
11,Kei Kamara,FW,2,27,56,2,0,0,0,0,0,9.76,
12,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,0,0,
13,Sebastian Hines,Sub,0,0,0,0,0,0,0,0,0,0,
14,Justin Hoyte77',Sub,0,4,100,1,0,0,0,0,0,5.96,
15,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,0,0,
16,Lukas Jutkiewicz,Sub,0,0,0,0,0,0,0,0,0,0,
17,Mustapha Carayol62',Sub,2,12,83,2,1,1,1,0,0,7.08,
18,József Varga78',Sub,0,4,25,0,0,1,0,0,0,6.09,
