R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Jason Steele78',GK,0,13,92,0,0,9,8,0,0,7.55,
2,Frazer Richardson,DR,0,39,82,4,0,7,4,0,0,7.03,
3,Jonathan Woodgate,DC,0,35,77,0,0,6,2,0,0,8.61,
4,Rhys Williams,DC,0,42,79,0,0,6,4,0,0,7.47,
5,George Friend,DL,0,49,82,3,1,10,6,0,0,7.97,
6,József Varga,DMC,2,44,82,0,0,3,3,0,0,7.64,
7,Dean Whitehead,DMC,1,85,91,0,0,10,8,0,0,7.51,
8,Albert Adomah,AMR,2,30,87,5,1,0,0,0,0,6.52,
9,Grant Leadbitter83',AMC,2,51,92,8,1,6,4,0,0,7.09,
10,Mustapha Carayol89',AML,1,32,66,6,0,5,4,0,0,6.69,
11,Lukas Jutkiewicz,FW,0,24,71,0,0,1,1,0,0,7.17,
12,Richard Smallwood83',Sub,1,5,80,0,0,1,0,0,0,6.07,
13,Curtis Main,Sub,0,0,0,0,0,0,0,0,0,0,
14,Stuart Parnaby,Sub,0,0,0,0,0,0,0,0,0,0,
15,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,0,0,0,
16,Jayson Leutwiler78',Sub,0,6,33,0,0,6,2,0,0,6.1,
17,Ben Gibson,Sub,0,0,0,0,0,0,0,0,0,0,
18,Marvin Emnes89',Sub,0,0,0,0,0,0,0,0,0,6.14,
