R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,19,53,0,0,10,3,0,0,7.65,
2,Jonathan Woodgate,DC,0,64,75,0,0,9,5,0,0,6.16,
3,Kenneth Omeruo,DC,1,68,69,1,0,10,1,0,0,7.75,
4,Nathaniel Chalobah,DC,0,45,84,0,0,5,4,0,0,7.05,
5,Emmanuel Jorge Ledesma,DMR,2,42,64,7,0,6,4,0,0,7.81,
6,Albert Adomah,DML,1,26,69,5,0,3,0,0,0,6.4,
7,Jacob Butterfield60',MC,2,30,70,1,1,3,1,0,0,6.73,
8,Dean Whitehead85',MC,1,53,98,0,0,4,3,0,0,6.71,
9,Grant Leadbitter74',MC,1,30,70,3,0,2,0,0,0,6.18,
10,Lee Tomlin,AMC,0,26,88,1,0,2,2,0,0,6.12,
11,Danny Graham,FW,2,21,67,0,0,1,0,0,0,6.77,
12,Sebastian Hines,Sub,0,0,0,0,0,0,0,0,0,0,
13,George Friend85',Sub,0,5,100,1,0,2,2,0,0,6.16,
14,Jason Steele,Sub,0,0,0,0,0,0,0,0,0,0,
15,Curtis Main74',Sub,0,3,0,0,0,0,0,0,0,6.03,
16,József Varga,Sub,0,0,0,0,0,0,0,0,0,0,
17,Luke Williams60',Sub,0,13,77,0,0,1,1,0,0,6.32,
18,Bryn Morris,Sub,0,0,0,0,0,0,0,0,0,0,
