R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,26,46,0,0,22,8,0,0,7.03,
2,József Varga,DR,1,31,84,1,0,2,1,0,0,6.97,
3,Ben Gibson,DC,0,39,72,0,0,4,2,0,0,6.44,
4,Kenneth Omeruo,DC,0,33,67,0,0,4,1,0,0,7.23,
5,George Friend20',DL,0,9,78,0,0,3,2,0,0,6.41,
6,Grant Leadbitter,DMC,5,39,74,6,5,2,1,0,0,7.76,
7,Nathaniel Chalobah,DMC,1,34,74,0,0,1,0,0,0,6.77,
8,Albert Adomah,AMR,1,21,76,3,1,1,1,1,1,7.01,
9,Jacob Butterfield77',AMC,4,33,73,1,1,4,3,0,0,7.64,
10,Luke Williams67',AML,0,13,77,0,0,0,0,0,0,6.43,
11,Danny Graham,FW,2,18,56,0,0,1,0,0,0,7.82,
12,Lee Tomlin77',Sub,0,5,40,1,0,1,1,0,0,7.16,
13,David Atkinson,Sub,0,0,0,0,0,0,0,0,0,0,
14,Curtis Main,Sub,0,0,0,0,0,0,0,0,0,0,
15,Emmanuel Jorge Ledesma67',Sub,2,4,100,2,2,0,0,0,0,6.81,
16,Jonathan Woodgate20',Sub,1,25,76,0,0,3,1,0,0,7.57,
17,Mark Kitching,Sub,0,0,0,0,0,0,0,0,0,0,
18,Jason Steele,Sub,0,0,0,0,0,0,0,0,0,0,
