R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,19,37,0,0,17,5,0,0,7.18,
2,Emilio Nsue Lopez,DR,1,35,83,3,0,5,1,0,0,6.84,
3,Daniel Ayala,DC,0,35,80,0,0,6,2,0,0,7.37,
4,Kenneth Omeruo71',DC,0,49,61,0,0,15,2,0,0,7,
5,George Friend,DL,0,52,67,0,0,13,4,0,0,6.82,
6,Albert Adomah,MR,1,41,90,4,1,1,1,0,0,6.44,
7,Lee Tomlin87',MC,2,36,78,0,0,1,1,0,0,6.7,
8,Adam Clayton,MC,3,59,90,8,4,6,3,0,0,7.74,
9,Adam Reach,ML,1,29,76,4,1,3,1,0,0,6.97,
10,Patrick Bamford,FW,1,25,56,1,0,1,0,0,0,6.18,
11,Kike76',FW,0,18,56,0,0,0,0,0,0,5.92,
12,Emmanuel Ledesma,Sub,0,0,0,0,0,0,0,0,0,undefined,
13,James Husband,Sub,0,0,0,0,0,0,0,0,0,undefined,
14,Yanic Wildschut87',Sub,0,2,100,0,0,0,0,0,0,5.96,
15,Jamal Blackman,Sub,0,0,0,0,0,0,0,0,0,undefined,
16,Ryan Fredericks,Sub,0,0,0,0,0,0,0,0,0,undefined,
17,Ben Gibson71',Sub,0,5,60,0,0,2,0,0,0,6.44,
18,Grant Leadbitter76',Sub,0,2,100,0,0,0,0,0,0,6.17,
