R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Tomás Mejías,GK,0,23,35,0,0,17,4,0,0,7.68,
2,József Varga,DR,0,28,43,0,0,8,2,0,0,6.58,
3,Jonathan Woodgate45',DC,0,12,58,0,0,3,1,0,0,6.54,
4,Kenneth Omeruo,DC,0,26,50,1,0,10,3,0,0,7.64,
5,George Friend,DL,0,26,50,0,0,7,2,0,0,6.05,
6,Jacob Butterfield75',MR,1,27,78,4,3,4,2,2,1,7.33,
7,Dean Whitehead,MC,0,42,67,0,0,5,3,0,0,5.38,
8,Nathaniel Chalobah,MC,3,44,70,0,0,7,4,0,0,6.83,
9,Albert Adomah58',ML,1,13,31,3,1,1,0,0,0,6.03,
10,Danny Graham,FW,0,15,73,1,0,1,1,0,0,5.86,
11,Kei Kamara,FW,1,32,66,0,0,2,2,0,0,6.93,
12,Grant Leadbitter,Sub,0,0,0,0,0,0,0,0,0,0,
13,Bryn Morris,Sub,0,0,0,0,0,0,0,0,0,0,
14,Emmanuel Jorge Ledesma58',Sub,0,8,50,1,1,3,1,0,0,6.19,
15,Lee Tomlin,Sub,0,0,0,0,0,0,0,0,0,0,
16,Curtis Main75',Sub,0,5,80,0,0,0,0,0,0,5.79,
17,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,0,
18,Ben Gibson45',Sub,0,11,36,0,0,5,2,0,0,6.46,
