,,,,,,,,,,,,,
R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Tomás Mejías,GK,0,28,68,0,0,20,11,0,0,6.6,
2,Damiá,DR,0,47,81,4,0,5,3,0,0,6.53,
3,Kenneth Omeruo,DC,0,38,74,0,0,8,2,0,0,7.44,
4,Daniel Ayala,DC,0,40,78,0,0,8,2,0,0,6.92,
5,George Friend,DL,1,51,73,0,0,13,3,0,0,7.25,
6,Albert Adomah,MR,3,32,72,7,0,1,1,0,0,6.53,
7,Grant Leadbitter,MC,2,66,82,4,2,10,6,0,0,6.88,
8,Dean Whitehead60',MC,0,39,77,0,0,4,2,0,0,6.48,
9,Adam Reach75',ML,0,28,79,9,0,5,1,0,0,6.69,
10,Kike,FW,1,22,91,0,0,2,2,0,0,5.66,
11,Lee Tomlin85',FW,1,29,79,1,0,2,2,0,0,6.32,
12,James Husband,Sub,0,0,0,0,0,0,0,0,0,0,
13,Jonathan Woodgate,Sub,0,0,0,0,0,0,0,0,0,0,
14,Bradley Fewster,Sub,0,0,0,0,0,0,0,0,0,0,
15,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,0,
16,Luke Williams85',Sub,0,5,80,0,0,0,0,0,0,6.07,
17,Emilio Nsue Lopez75',Sub,0,7,86,0,0,0,0,0,0,5.98,
18,Adam Clayton60',Sub,1,28,79,1,1,7,3,0,0,6.67,
