,,,,,,,,,,,,,
R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Shay Given,GK,0,19,58,0,0,15,8,0,0,6.73,
2,Rhys Williams,DR,0,35,86,6,1,2,2,0,0,7.72,
3,Jonathan Woodgate,DC,0,38,74,0,0,9,5,0,0,7.46,
4,Ben Gibson,DC,0,40,65,0,0,8,4,0,0,7.11,
5,George Friend,DL,1,48,88,2,0,2,1,0,0,6.79,
6,Albert Adomah,MR,0,17,82,7,2,1,1,0,0,7.15,
7,Grant Leadbitter,MC,4,68,85,6,3,15,10,0,0,8.58,
8,Jacob Butterfield67',MC,0,37,84,1,0,2,1,0,0,6.42,
9,Richard Smallwood84',MC,1,37,84,0,0,7,5,0,0,6.27,
10,Mustapha Carayol63',ML,0,20,95,4,1,0,0,0,0,5.93,
11,Kei Kamara,FW,2,36,67,1,0,2,1,0,0,6.98,
12,Dean Whitehead84',Sub,0,2,50,0,0,0,0,0,0,6.06,
13,Curtis Main63',Sub,0,5,40,0,0,0,0,0,0,6.4,
14,Marvin Emnes67',Sub,0,9,89,1,0,1,1,0,0,6.55,
15,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,0,
16,Daniel Ayala,Sub,0,0,0,0,0,0,0,0,0,0,
17,Frazer Richardson,Sub,0,0,0,0,0,0,0,0,0,0,
18,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,0,0,0,
