R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Jason Steele,GK,0,23,83,0,0,11,7,0,0,6.32,
2,Frazer Richardson77',DR,1,29,83,2,1,4,2,0,0,6.62,
3,Ben Gibson,DC,0,35,77,0,0,7,3,0,0,7.2,
4,Rhys Williams,DC,0,43,84,1,1,7,2,0,0,7.34,
5,George Friend,DL,0,39,79,3,1,7,3,0,0,7.13,
6,Dean Whitehead,DMC,2,69,94,0,0,7,5,0,0,6.68,
7,Albert Adomah,MR,4,28,64,6,2,2,0,0,0,6.85,
8,Grant Leadbitter,MC,6,55,87,9,5,5,3,0,0,7.82,
9,Jacob Butterfield72',MC,1,40,95,4,2,4,3,0,0,6.68,
10,Mustapha Carayol65',ML,0,13,77,2,1,3,1,0,0,6.23,
11,Kei Kamara,FW,1,25,68,2,1,2,1,0,0,6.6,
12,Lukas Jutkiewicz65',Sub,0,5,80,2,1,0,0,0,0,6.13,
13,József Varga,Sub,0,0,0,0,0,0,0,0,0,0,
14,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,0,0,
15,Andrew Halliday72',Sub,0,1,100,0,0,1,1,0,0,6.11,
16,Stuart Parnaby,Sub,0,0,0,0,0,0,0,0,0,0,
17,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,0,0,
18,Justin Hoyte77',Sub,0,2,0,0,0,0,0,0,0,6.13,
