R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Shay Given,GK,0,16,50,0,0,12,6,0,0,7.37,
2,József Varga,DR,0,41,80,0,0,7,5,0,0,7.18,
3,Ben Gibson,DC,0,42,74,0,0,10,6,0,0,7.71,
4,Daniel Ayala,DC,0,25,92,0,0,8,6,0,0,7.94,
5,George Friend,DL,0,28,79,1,0,2,1,0,0,7.73,
6,Emmanuel Jorge Ledesma88',MR,3,34,76,4,0,9,7,0,0,7.99,
7,Grant Leadbitter,MC,3,60,90,1,0,6,5,0,0,9.19,
8,Dean Whitehead,MC,0,51,88,0,0,11,10,0,0,7.27,
9,Albert Adomah,ML,4,23,78,1,0,4,3,0,0,8.21,
10,Lukas Jutkiewicz63',FW,3,25,52,0,0,0,0,0,0,7.39,
11,Marvin Emnes81',FW,1,22,82,3,1,0,0,0,0,6.95,
12,Jacob Butterfield88',Sub,1,6,100,1,0,0,0,0,0,6.09,
13,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,0,
14,Mustapha Carayol81',Sub,0,9,89,0,0,1,1,0,0,6.16,
15,Rhys Williams,Sub,0,0,0,0,0,0,0,0,0,0,
16,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,0,0,
17,Curtis Main63',Sub,0,6,100,0,0,0,0,0,0,6.65,
18,Sebastian Hines,Sub,0,0,0,0,0,0,0,0,0,0,
