R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Shay Given,GK,0,23,48,0,0,17,5,0,0,7.38,
2,József Varga,DR,1,33,79,0,0,5,1,0,0,6.85,
3,Rhys Williams,DC,1,40,75,0,0,9,5,0,0,7.65,
4,Daniel Ayala,DC,0,41,90,0,0,9,7,0,0,7.18,
5,George Friend,DL,0,40,70,2,1,4,1,0,0,7.61,
6,Emmanuel Jorge Ledesma,MR,1,40,75,1,0,5,3,0,0,7.61,
7,Dean Whitehead,MC,1,70,74,0,0,10,6,0,0,7.34,
8,Grant Leadbitter,MC,0,34,76,1,0,4,2,0,0,7.01,
9,Mustapha Carayol88',ML,0,20,60,2,0,1,0,0,0,7.09,
10,Curtis Main79',FW,1,23,70,0,0,0,0,0,0,6.77,
11,Marvin Emnes58',FW,3,25,76,0,0,1,1,0,0,6.56,
12,Jonathan Woodgate,Sub,0,0,0,0,0,0,0,0,0,0,
13,Lukas Jutkiewicz58',Sub,2,17,71,0,0,1,1,0,0,6.3,
14,Richard Smallwood79',Sub,0,6,67,0,0,1,0,0,0,5.98,
15,Ben Gibson,Sub,0,0,0,0,0,0,0,0,0,0,
16,Jacob Butterfield,Sub,0,0,0,0,0,0,0,0,0,0,
17,Kei Kamara88',Sub,1,6,67,0,0,0,0,0,0,6.15,
18,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,0,
