R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,19,74,0,0,8,3,0,0,6.31,
2,József Varga,DR,0,45,64,0,0,1,0,0,0,5.99,
3,Ben Gibson,DC,0,58,74,0,0,10,4,0,0,6.07,
4,Kenneth Omeruo,DC,0,60,72,0,0,14,5,0,0,6.36,
5,George Friend,DL,1,34,65,2,1,5,2,0,0,7.03,
6,Emmanuel Jorge Ledesma73',MR,3,26,62,2,1,5,2,0,0,6.32,
7,Dean Whitehead,MC,0,59,81,0,0,5,4,1,0,6.44,
8,Jacob Butterfield,MC,0,39,64,3,0,7,4,0,0,6.14,
9,Nathaniel Chalobah45',MC,1,22,82,1,1,4,3,0,0,6.49,
10,Albert Adomah,ML,2,35,69,3,1,2,0,0,0,8.39,
11,Danny Graham88',FW,0,18,61,0,0,0,0,0,0,6.07,
12,Jason Steele,Sub,0,0,0,0,0,0,0,0,0,0,
13,Curtis Main73',Sub,0,5,80,0,0,0,0,0,0,5.95,
14,Luke Williams88',Sub,0,6,100,0,0,0,0,0,0,6.04,
15,Adam Jackson,Sub,0,0,0,0,0,0,0,0,0,0,
16,Bryn Morris,Sub,0,0,0,0,0,0,0,0,0,0,
17,David Atkinson,Sub,0,0,0,0,0,0,0,0,0,0,
18,Lee Tomlin45',Sub,0,13,77,0,0,3,0,0,0,6.04,
