R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Shay Given,GK,0,30,50,0,0,27,12,0,0,7.09,
2,Rhys Williams,DR,0,32,59,0,0,3,1,0,0,7.07,
3,Jonathan Woodgate,DC,1,14,71,0,0,4,1,0,0,7.04,
4,Ben Gibson,DC,0,18,67,0,0,3,2,0,0,6.27,
5,George Friend89',DL,0,26,62,0,0,3,0,0,0,6.6,
6,Albert Adomah87',MR,1,18,89,3,0,0,0,0,0,6.86,
7,Jacob Butterfield45',MC,0,28,79,3,0,2,0,0,0,5.81,
8,Dean Whitehead,MC,3,43,79,0,0,2,1,0,0,7.92,
9,Richard Smallwood,MC,2,39,79,0,0,6,3,0,0,7.68,
10,Kei Kamara,ML,0,29,62,1,0,1,0,0,0,7.4,
11,Curtis Main,FW,0,7,71,0,0,0,0,0,0,5.17,
12,József Varga87',Sub,0,1,100,0,0,0,0,0,0,6.04,
13,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,0,
14,Frazer Richardson,Sub,0,0,0,0,0,0,0,0,0,0,
15,Marvin Emnes,Sub,0,0,0,0,0,0,0,0,0,0,
16,Daniel Ayala89',Sub,0,2,100,0,0,1,1,0,0,6.06,
17,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,0,0,0,
18,Mustapha Carayol45',Sub,0,11,91,1,0,0,0,0,0,6.2,
