R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Jason Steele,GK,0,22,32,0,0,21,6,0,0,7.01,
2,Rhys Williams,DR,1,41,80,1,0,3,2,0,0,7.69,
3,Daniel Ayala,DC,0,26,65,0,0,8,4,0,0,8.77,
4,Jonathan Woodgate,DC,0,12,75,0,0,4,2,0,0,8.51,
5,Ben Gibson,DL,1,27,67,1,0,6,1,0,0,7.5,
6,Richard Smallwood,DMC,4,49,80,1,1,6,5,0,0,8.26,
7,Grant Leadbitter,DMC,3,47,81,4,2,6,4,0,0,9.07,
8,Albert Adomah89',AMR,1,30,83,6,0,0,0,0,0,8.29,
9,Marvin Emnes,AMC,4,30,97,2,0,0,0,0,0,7.36,
10,Mustapha Carayol82',AML,2,19,58,6,2,2,0,0,0,7.92,
11,Kei Kamara86',FW,3,37,62,0,0,3,2,2,2,9.2,
12,Lukas Jutkiewicz,Sub,0,0,0,0,0,0,0,0,0,0,
13,Sebastian Hines,Sub,0,0,0,0,0,0,0,0,0,0,
14,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,0,0,
15,George Friend,Sub,0,0,0,0,0,0,0,0,0,0,
16,Jacob Butterfield82',Sub,0,1,0,0,0,0,0,0,0,6.51,
17,József Varga89',Sub,0,1,0,0,0,0,0,0,0,6.18,
18,Curtis Main86',Sub,0,2,50,0,0,0,0,0,0,5.96,
