,,,,,,,,,,,,,
R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,31,26,0,0,29,6,0,0,6.85,
2,Damiá,DR,1,49,57,3,1,11,4,0,0,7.21,
3,Daniel Ayala,DC,0,37,76,0,0,10,6,0,0,7.32,
4,Ben Gibson,DC,0,36,56,0,0,14,1,0,0,6.64,
5,George Friend,DL,0,39,72,4,2,3,1,0,0,7.15,
6,Albert Adomah89',MR,1,26,73,8,1,2,1,0,0,6.76,
7,Grant Leadbitter,MC,0,43,70,10,3,8,2,0,0,7.82,
8,Adam Clayton,MC,2,44,77,1,0,7,4,0,0,6.89,
9,Adam Reach,ML,1,30,63,4,0,8,3,0,0,7.44,
10,Lee Tomlin59',AMC,3,15,87,0,0,1,1,0,0,6.57,
11,Kike77',FW,2,26,69,0,0,2,2,1,1,6.35,
12,Dean Whitehead,Sub,0,0,0,0,0,0,0,0,0,undefined,
13,Jelle Vossen59',Sub,0,19,74,0,0,2,1,1,0,5.96,
14,Patrick Bamford77',Sub,0,4,50,0,0,0,0,0,0,6.01,
15,Emilio Nsue Lopez89',Sub,0,0,0,0,0,0,0,0,0,6.03,
16,Yanic Wildschut,Sub,0,0,0,0,0,0,0,0,0,undefined,
17,Jonathan Woodgate,Sub,0,0,0,0,0,0,0,0,0,undefined,
18,Jamal Blackman,Sub,0,0,0,0,0,0,0,0,0,undefined,
