R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Shay Given,GK,0,23,48,0,0,19,8,0,0,6.92,
2,József Varga,DR,1,22,73,0,0,4,2,0,0,6.49,
3,Daniel Ayala,DC,0,30,37,0,0,14,2,0,0,7.27,
4,Rhys Williams45',DC,0,7,57,0,0,2,0,0,0,6.41,
5,George Friend,DL,0,30,57,0,0,9,2,0,0,6.99,
6,Emmanuel Jorge Ledesma,MR,3,29,59,3,1,5,0,0,0,6.64,
7,Grant Leadbitter,MC,1,27,67,5,0,3,1,0,0,6.05,
8,Dean Whitehead,MC,0,48,65,1,0,4,2,0,0,6.68,
9,Mustapha Carayol83',ML,2,14,64,4,1,2,1,0,0,7.12,
10,Curtis Main,FW,0,18,78,2,0,1,0,0,0,6.13,
11,Marvin Emnes60',FW,0,15,60,0,0,0,0,0,0,5.86,
12,Nathaniel Chalobah,Sub,0,0,0,0,0,0,0,0,0,0,
13,Ben Gibson45',Sub,0,17,76,0,0,2,1,0,0,6.07,
14,Albert Adomah60',Sub,0,11,55,2,0,1,1,0,0,6.23,
15,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,0,
16,Jacob Butterfield,Sub,0,0,0,0,0,0,0,0,0,0,
17,Kenneth Omeruo,Sub,0,0,0,0,0,0,0,0,0,0,
18,Kei Kamara83',Sub,0,6,83,0,0,0,0,0,0,6.26,
