R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Tomás Mejías,GK,0,23,48,0,0,21,9,0,0,6.82,
2,Sebastian Hines,DR,0,23,83,0,0,2,1,0,0,7.27,
3,Daniel Ayala,DC,0,39,51,0,0,15,5,0,0,8.46,
4,Ben Gibson4',DC,0,0,0,0,0,0,0,0,0,6.33,
5,George Friend,DL,1,39,64,3,0,7,1,0,0,7.57,
6,Dean Whitehead,DMC,1,49,86,0,0,4,2,0,0,7.55,
7,Grant Leadbitter,DMC,4,45,73,11,5,6,2,0,0,7.92,
8,Albert Adomah67',AMR,1,10,70,3,0,1,0,0,0,6.83,
9,Lee Tomlin87',AMC,2,34,88,0,0,2,0,0,0,7,
10,Adam Reach,AML,2,29,72,10,1,4,0,0,0,7.34,
11,Kike,FW,2,27,74,0,0,2,1,0,0,8.05,
12,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,0,0,
13,James Husband,Sub,0,0,0,0,0,0,0,0,0,0,
14,Bradley Fewster,Sub,0,0,0,0,0,0,0,0,0,0,
15,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,0,
16,Luke Williams87',Sub,0,5,80,0,0,0,0,0,0,6.2,
17,Kenneth Omeruo4',Sub,0,38,74,0,0,11,4,0,0,6.87,
18,Emilio Nsue Lopez67',Sub,1,8,100,2,0,0,0,0,0,6.24,
