R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Shay Given,GK,0,18,56,0,0,14,6,0,0,7.32,
2,József Varga,DR,0,28,57,1,0,11,4,0,0,7.27,
3,Rhys Williams,DC,1,28,68,0,0,8,4,0,0,8.79,
4,Daniel Ayala,DC,0,24,58,0,0,10,4,0,0,8.25,
5,George Friend,DL,0,20,60,2,0,6,1,0,0,7.82,
6,Emmanuel Jorge Ledesma89',MR,1,37,65,5,0,5,4,1,1,7.98,
7,Grant Leadbitter,MC,0,32,63,2,0,8,5,0,0,6.81,
8,Dean Whitehead,MC,1,44,84,0,0,7,3,0,0,6.98,
9,Marvin Emnes61',MC,0,15,80,2,0,1,1,1,0,6.04,
10,Albert Adomah,ML,2,17,82,3,0,1,0,0,0,6.89,
11,Lukas Jutkiewicz81',FW,0,19,63,2,0,0,0,0,0,6.36,
12,Jacob Butterfield89',Sub,0,3,67,0,0,0,0,0,0,6.09,
13,Frazer Richardson,Sub,0,0,0,0,0,0,0,0,0,0,
14,Mustapha Carayol61',Sub,0,17,47,1,0,1,0,0,0,8.39,
15,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,0,0,
16,Curtis Main81',Sub,0,4,50,0,0,1,1,0,0,6.07,
17,Ben Gibson,Sub,0,0,0,0,0,0,0,0,0,0,
18,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,0,
