R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Jason Steele,GK,0,20,60,0,0,17,9,0,0,6.67,
2,Frazer Richardson,DR,2,20,70,1,0,6,4,0,0,6.63,
3,Jonathan Woodgate45',DC,0,12,92,0,0,2,2,0,0,6.14,
4,Ben Gibson,DC,0,39,74,0,0,10,5,0,0,5.87,
5,George Friend,DL,0,34,71,1,0,9,5,0,0,6.75,
6,Jacob Butterfield67',MR,0,31,84,0,0,4,2,0,0,5.75,
7,József Varga45',MC,0,17,71,0,0,2,1,0,0,5.76,
8,Grant Leadbitter,MC,2,35,74,5,1,4,1,0,0,6.48,
9,Dean Whitehead,MC,3,53,85,2,0,9,7,0,0,6.47,
10,Albert Adomah,ML,1,20,65,3,1,0,0,0,0,6.13,
11,Kei Kamara,FW,2,16,69,0,0,0,0,0,0,6.42,
12,Mustapha Carayol,Sub,0,0,0,0,0,0,0,0,0,0,
13,Richard Smallwood67',Sub,1,9,89,1,0,2,2,0,0,6.1,
14,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,0,0,
15,Lukas Jutkiewicz45',Sub,1,10,50,0,0,0,0,0,0,6.8,
16,Andrew Halliday,Sub,0,0,0,0,0,0,0,0,0,0,
17,Stuart Parnaby45',Sub,0,6,50,3,1,2,0,0,0,6.33,
18,Justin Hoyte,Sub,0,0,0,0,0,0,0,0,0,0,
