R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Shay Given,GK,0,18,33,0,0,17,5,0,0,7.01,
2,József Varga,DR,0,26,50,0,0,7,0,0,0,6.64,
3,Daniel Ayala,DC,0,17,65,0,0,4,2,0,0,5.96,
4,Rhys Williams,DC,0,19,63,0,0,4,2,0,0,6.35,
5,George Friend,DL,0,25,68,3,0,4,1,0,0,6.54,
6,Dean Whitehead,DMC,0,30,70,0,0,4,2,0,0,6.96,
7,Grant Leadbitter,DMC,2,34,59,4,2,7,4,1,0,6.68,
8,Albert Adomah,AMR,2,24,67,5,2,5,1,0,0,6.79,
9,Emmanuel Jorge Ledesma77',AMC,0,25,72,1,0,1,0,1,0,5.82,
10,Mustapha Carayol,AML,2,30,60,4,2,5,3,0,0,6.9,
11,Lukas Jutkiewicz59',FW,0,16,56,0,0,1,1,0,0,6.25,
12,Kenneth Omeruo,Sub,0,0,0,0,0,0,0,0,0,0,
13,Kei Kamara59',Sub,0,9,44,0,0,0,0,0,0,6.02,
14,Marvin Emnes,Sub,0,0,0,0,0,0,0,0,0,0,
15,Ben Gibson,Sub,0,0,0,0,0,0,0,0,0,0,
16,Jacob Butterfield,Sub,0,0,0,0,0,0,0,0,0,0,
17,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,0,
18,Nathaniel Chalobah77',Sub,0,8,63,0,0,2,1,0,0,6.1,
