R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Tomás Mejías,GK,0,18,67,0,0,11,5,0,0,6.17,
2,Damiá45',DR,0,22,64,1,1,4,1,0,0,5.61,
3,Kenneth Omeruo,DC,0,54,83,0,0,13,6,0,0,6.38,
4,Daniel Ayala,DC,0,41,80,0,0,8,5,0,0,7.08,
5,George Friend,DL,0,64,80,1,0,12,2,0,0,6.12,
6,Grant Leadbitter,DMC,5,70,90,7,2,10,5,1,1,8.12,
7,Dean Whitehead,DMC,1,63,86,0,0,7,5,0,0,6.39,
8,Albert Adomah,AMR,1,33,52,4,0,3,1,0,0,6.81,
9,Lee Tomlin66',AMC,1,20,70,0,0,1,0,1,0,6.3,
10,Adam Reach,AML,1,37,84,7,1,2,0,0,0,6.94,
11,Kike,FW,1,22,86,0,0,0,0,0,0,6.8,
12,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,undefined,
13,Adam Clayton45',Sub,1,31,87,2,1,4,2,0,0,6.56,
14,Sebastian Hines,Sub,0,0,0,0,0,0,0,0,0,undefined,
15,James Husband,Sub,0,0,0,0,0,0,0,0,0,undefined,
16,Emilio Nsue Lopez,Sub,0,0,0,0,0,0,0,0,0,undefined,
17,Bradley Fewster,Sub,0,0,0,0,0,0,0,0,0,undefined,
18,Luke Williams66',Sub,0,7,100,1,1,1,1,0,0,6.25,
