,,,,,,,,,,,,,
R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Jason Steele,GK,0,20,35,0,0,15,2,0,0,6.53,
2,Justin Hoyte,DR,0,33,88,5,1,1,0,0,0,6.3,
3,Jonathan Woodgate,DC,0,41,71,0,0,3,2,0,0,7.02,
4,Rhys Williams,DC,0,43,84,0,0,6,3,0,0,6.48,
5,George Friend,DL,0,37,84,2,0,2,0,0,0,6.46,
6,Albert Adomah,MR,0,20,75,6,2,4,3,0,0,6.73,
7,Grant Leadbitter,MC,4,51,88,5,3,16,12,1,1,7.54,
8,József Varga72',MC,3,40,95,2,0,4,3,0,0,6.55,
9,Dean Whitehead,MC,4,78,92,1,0,12,11,0,0,7.47,
10,Mustapha Carayol72',ML,5,27,96,5,1,2,1,0,0,7.81,
11,Lukas Jutkiewicz,FW,2,17,71,2,1,0,0,0,0,7.55,
12,Marvin Emnes72',Sub,0,9,89,0,0,0,0,0,0,6.1,
13,Luke Williams,Sub,0,0,0,0,0,0,0,0,0,0,
14,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,0,0,
15,Ben Gibson,Sub,0,0,0,0,0,0,0,0,0,0,
16,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,0,0,
17,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,0,0,0,
18,Andrew Halliday72',Sub,0,7,86,3,0,0,0,0,0,6.3,
