R,Name,P,KP,Pass,PA%,C,AC,LB,ALB,TB,ATB,Rt,Key Events
1,Shay Given,GK,0,32,53,0,0,26,12,0,0,6.24,
2,Rhys Williams,DR,1,30,67,4,0,8,3,0,0,7.38,
3,Daniel Ayala,DC,0,31,55,0,0,11,4,0,0,8.48,
4,Jonathan Woodgate,DC,0,27,78,0,0,4,3,0,0,7.07,
5,Ben Gibson,DL,0,28,71,2,1,5,2,0,0,6.35,
6,Albert Adomah,MR,5,33,88,7,1,4,2,0,0,7.62,
7,Dean Whitehead,MC,0,51,76,0,0,3,1,0,0,6.34,
8,Grant Leadbitter,MC,0,32,69,9,4,3,0,0,0,6.75,
9,Mustapha Carayol62',ML,0,14,64,1,0,0,0,0,0,7.83,
10,Marvin Emnes71',FW,1,24,79,0,0,0,0,1,0,6.54,
11,Kei Kamara89',FW,2,32,81,3,1,1,1,0,0,7.06,
12,Frazer Richardson,Sub,0,0,0,0,0,0,0,0,0,0,
13,Jacob Butterfield71',Sub,0,8,100,0,0,0,0,0,0,6.03,
14,Sebastian Hines,Sub,0,0,0,0,0,0,0,0,0,0,
15,Emmanuel Jorge Ledesma89',Sub,0,3,100,0,0,0,0,0,0,6.01,
16,Lukas Jutkiewicz62',Sub,1,3,33,1,1,0,0,0,0,6.57,
17,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,0,0,
18,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,0,
